"Document Title","Authors","Author Affiliations","Publication Title","Date Added To Xplore","Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBNs","DOI","Funding Information","PDF Link","Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms","Article Citation Count","Patent Citation Count","Reference Count","Copyright Year","License","Online Date","Issue Date","Meeting Date","Publisher","Document Identifier
"Portable Medical Records Using Internet of Things for Medical Devices","A. Chhatlani; A. Dadlani; M. Gidwani; M. Keswani; P. Kanade","Dept. of Comput. Eng., VESIT, Mumbai, India","2016 8th International Conference on Computational Intelligence and Communication Networks (CICN)","20171026","2016","","","446","451","Forgetting our medical file while visiting the doctor or misplacing out on some important medical reports, regular visits to a remotely located hospital or inability to meet the doctor in an alarming situation - all these seemingly far-stretched complicated issues only get simplified using an IOT / ICT enabled system. The Internet of Things (IoT) can be described asa smart network of devices that are interconnected and embedded with sensors and software used to collect data and exchange information. The IoT has a variety of application domains, including health care as one of its chief research area. Our project eliminates the traditional system of preserving patient's medical health literature by introducing a portable web server which stores and synchronizes all kinds of patient information (reports, findings, scans, prescriptions, medical history, etc.) thereby making the system go paperless and hassle free. Further, this paper demonstrates the various functionalities implemented inorder to devise portable medical records and discusses on the scope of the core idea in the near future revolutionizing the field of healthcare.","","Electronic:978-1-5090-1144-5; POD:978-1-5090-1145-2","10.1109/CICN.2016.93","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8082685","EHR;IoT;challenges;health care;networks;portable devices;services","History;Hospitals;Medical diagnostic imaging;Servers;Software","Internet of Things;health care;hospitals;medical information systems","Internet of Things;IoT;health care;medical devices;medical file;medical history;portable Web server;portable medical records","","","","","","","","23-25 Dec. 2016","","IEEE","IEEE Conferences"
"Efficient Large-scale Medical Data (eHealth Big Data) Analytics in Internet of Things","A. P. Plageras; C. Stergiou; G. Kokkonis; K. E. Psannis; Y. Ishibashi; B. G. Kim; B. B. Gupta","Dept. of Appl. Inf., Univ. of Macedonia, Thessaloniki, Greece","2017 IEEE 19th Conference on Business Informatics (CBI)","20170821","2017","02","","21","27","Recent technologies such as Big Data could be used in order to help the improvement of other fields except for the telecommunication field. Due to the Health field, the Big Data technology could contribute with the aim to help for the purpose of analysis and management of the huge amounts of health data. The main objective of this research proposal is an analytical study of the technologies IoT, Cloud Computing (CC) and largescale data (Big Data) to resolve various issues facing the health sector in relation to these technologies. The purpose of the research proposal is the collection of medical (e-health) big data in real time. The collection will be performed by sensor devices and actuators, which will wear patients who suffer from various ailments. Then is following, the transfer of these data through a network to a cloud server. Additionally, these data will be processed in the cloud which makes its analysis so as to become meaningless. By the analysis of these data is done the data mining. Finally, to address the various problems in the health sector, the transfer of the analyzed health data will be heRecent technologies such as Big Data could be used in order to help the improvement of other fields except for the telecommunication field. Due to the Health field, the Big Data technology could contribute with the aim to help for the purpose of analysis and management of the huge amounts of health data. The main objective of this research proposal is an analytical study of the technologies IoT, Cloud Computing (CC) and large-scale data (Big Data) to resolve various issues facing the health sector in relation to these technologies. The purpose of the research proposal is the collection of medical (e-health) big data in real time. The collection will be performed by sensor devices and actuators, which will wear patients who suffer from various ailments. Then is following, the transfer of these data through a network to a cloud server. Additionally, these data will- be processed in the cloud which makes its analysis so as to become meaningless. By the analysis of these data is done the data mining. Finally, to address the various problems in the health sector, the transfer of the analyzed health data will be held by the devices of the relevant persons. Also, in our study, we will deal with the security of medical data which constitute personal data and must be protected.ld by the devices of the relevant persons. Also, in our study, we will deal with the security of medical data which constitute personal data and must be protected.","","Electronic:978-1-5386-3035-8; POD:978-1-5386-3036-5","10.1109/CBI.2017.3","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8012935","Big Data;Cloud Computing;Healthcare;IoT","Actuators;Big Data;Cloud computing;Diseases;Proposals;Real-time systems","Big Data;Internet of Things;cloud computing;data analysis;electronic health records;file servers;health care","CC;Internet of Things;IoT;cloud computing;cloud server;eHealth Big Data analytics;health sector;medical data","","","","","","","","24-27 July 2017","","IEEE","IEEE Conferences"
"Assessing medical device vulnerabilities on the Internet of Things","E. McMahon; R. Williams; M. El; S. Samtani; M. Patton; H. Chen","Department of Management Information Systems, The University of Arizona, Tucson, AZ 85721","2017 IEEE International Conference on Intelligence and Security Informatics (ISI)","20170810","2017","","","176","178","Internet enabled medical devices offer patients with a level of convenience. In recent years, the healthcare industry has seen a surge in the number of cyber-attacks. Given the potentially fatal impact of a compromised medical device, this study aims to identify vulnerabilities of medical devices. Our approach uses Shodan to obtain a large collection of IP addresses that will be passed through Nessus to verify if any vulnerabilities exist. We determined some devices manufactured by primary vendors such as Omron Corporation, FORA, Roche, and Bionet contain serious vulnerabilities such as Dropbear SSH Server and MS17-010. These allow remote execution of code and authentication bypassing potentially giving attackers control of their systems.","","Electronic:978-1-5090-6727-5; POD:978-1-5090-6728-2","10.1109/ISI.2017.8004903","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8004903","IoT;Nessus;Shodan;health;medical devices;vulnerability assessment","Computer security;Insulin pumps;Internet;Medical services;Object recognition;Servers","Internet of Things;biomedical equipment;health care","Internet enabled medical devices;Internet of Things;healthcare industry","","","","","","","","22-24 July 2017","","IEEE","IEEE Conferences"
"Research on Mobile Intelligent Medical Information System Based on the Internet of Things Technology","G. Sun; F. Yu; X. Lei; Y. Wang; H. Hu","Peking Union Med. Coll. Hosp., Beijing, China","2016 8th International Conference on Information Technology in Medicine and Education (ITME)","20170713","2016","","","260","266","Research Purpose: Design a mobile intelligent medical information system based on the Internet of things technology. Proposed Methods: First, sort out the basic theory and research status through the literature research, including the Internet of things technology, mobile medical systems and smart hospitals. Then conduct on-site research through field visits, questionnaires, opinion evaluation and other methods, including hospital diagnosis and treatment process, charging process, hospital process and the function of hospital information system. Finally, according to the survey results, use the method of software engineering to complete system requirement analysis and system design. Results: Based on the mobile phone near field wireless communication technology and indoor navigation technology, complete the various business processes carding, functional design, interface design and software and hardware environment support analysis. Conclusion: The mobile intelligent medical information system based on the Internet of things technology can greatly reduce the patient's treatment time, improve the patient's treatment efficiency and hospital management efficiency, and can further regulate and promote the development of intelligent medical treatment.","","Electronic:978-1-5090-3906-7; POD:978-1-5090-3907-4","10.1109/ITME.2016.0066","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7976480","Intelligent medical system;Internet of things;hospital management","Business;Hospitals;Internet of Things;Medical diagnostic imaging;Mobile communication;Mobile handsets","Internet of Things;hospitals;indoor navigation;medical information systems;mobile computing;mobile handsets;patient diagnosis;patient treatment;software engineering","Internet of Things;charging process;hardware environment support analysis;hospital diagnosis;hospital information system function;hospital management efficiency improvement;hospital process;indoor navigation technology;intelligent medical treatment development;interface design;mobile intelligent medical information system;patient treatment efficiency improvement;patient treatment time;smart hospitals;software engineering;software environment support analysis;treatment process;wireless communication technology","","","","","","","","23-25 Dec. 2016","","IEEE","IEEE Conferences"
"Light weight cryptographic algorithms for medical internet of things (IoT) - a review","D. J. Rani; S. E. Roslin","Faculty of Electrical and Electronics, Sathyabama University, Chennai, India","2016 Online International Conference on Green Engineering and Technologies (IC-GET)","20170504","2016","","","1","6","Internet of things (IoT) is communication between smart objects and human. It finds enormous applications in the field of healthcare monitoring, information management system, agriculture, predicting the natural disaster etc. In all those applications of IoT, security plays a vital role. In this paper, a study on various encryption light weight techniques used for IoT was analyzed. Also the performance of those existing algorithms is analyzed in detail based on the constraint and merits of the IoT. This detailed survey is made towards obtaining a tradeoff between security, cost and performance of IoT based application.","","Electronic:978-1-5090-4556-3; POD:978-1-5090-4557-0","10.1109/GET.2016.7916703","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7916703","Attacks;FPGA;IoT;Light weight cryptography;Throughput","Algorithm design and analysis;Cryptography;Field programmable gate arrays;Hardware;Software algorithms;Throughput","Internet of Things;biomedical communication;cryptography","IoT;agriculture;encryption lightweight techniques;healthcare monitoring;information management system;lightweight cryptographic algorithms;medical Internet of Things;natural disaster prediction","","","","","","","","19-19 Nov. 2016","","IEEE","IEEE Conferences"
"Medical warning system based on Internet of Things using fog computing","I. Azimi; A. Anzanpour; A. M. Rahmani; P. Liljeberg; T. Salakoski","Department of Information Technology, University of Turku, Finland","2016 International Workshop on Big Data and Information Security (IWBIS)","20170309","2016","","","19","24","Remote patient monitoring is essential for many patients that are suffering from acute diseases such as different heart conditions. Continuous health monitoring can provide medical services that consider the current medical state of the patient and to predict or early-detect future potentially critical situations. In this regard, Internet of Things as a multidisciplinary paradigm can provide profound impacts. However, the current IoT-based systems may encounter difficulties to provide continuous and real time patient monitoring due to issues in data analytics. In this paper, we introduce a new IoT-based approach to offer smart medical warning in personalized patient monitoring. The proposed approach consider local computing paradigm enabled by machine learning algorithms and automate management of system components in computing section. The proposed system is evaluated via a case study concerning continuous patient monitoring to early-detect patient deterioration via arrhythmia in ECG signal.","","Electronic:978-1-5090-3477-2; POD:978-1-5090-3478-9; USB:978-1-5090-3476-5","10.1109/IWBIS.2016.7872884","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7872884","Autonomic computing;Fog Comouting;Internet of Things;Patient monitoring;machine learning","Biomedical monitoring;Cloud computing;Computer architecture;Electrocardiography;Logic gates;Patient monitoring","Internet of Things;alarm systems;data analysis;diseases;electrocardiography;learning (artificial intelligence);medical signal processing;patient monitoring;real-time systems","ECG signal;Internet of Things;IoT-based systems;acute diseases;continuous health monitoring;data analytics;fog computing;machine learning;medical warning system;real time patient monitoring;remote patient monitoring","","1","","","","","","18-19 Oct. 2016","","IEEE","IEEE Conferences"
"Research on Data Communication Between Intelligent Terminals of Medical Internet of Things","Y. Cui; G. Shi; X. S. Liu; W. Zhao; Y. Q. Li","Shenyang Inst. of Autom., Shenyang, China","2015 International Conference on Computer Science and Applications (CSA)","20170116","2015","","","357","359","In the Internet of things, all kinds of sensors and access devices are in accordance with the agreed standards of communication protocol and data exchange standard, according to the unified standard, business flow and management flow transmission. It is in the Internet of things system communication protocol standards and data exchange specifications, can varieties of terminal structure and data acquisition of different devices in the field be a network. This article is based on the wireless communication protocol WMMP (Machine-to-Machine Protocol Wireless), which is based on the characteristics of the medical Internet of things and data stream.","","CD:978-1-4799-9960-6; Electronic:978-1-4799-9961-3; POD:978-1-4799-9962-0","10.1109/CSA.2015.39","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7810895","Medical Internet of Things;Message Protocol;WMMP","Internet of Things;Medical diagnostic imaging;Medical services;Protocols;Standards","Internet of Things;business data processing;data acquisition;data communication;electronic data interchange;machine-to-machine communication;medical computing;telecommunication standards;transport protocols","WMMP;business flow transmission;communication protocol standard;data acquisition;data communication;data exchange specifications;data exchange standard;intelligent terminals;machine-to-machine protocol wireless;management flow transmission;medical Internet of things;terminal structure;wireless communication protocol","","","","","","","","20-22 Nov. 2015","","IEEE","IEEE Conferences"
"Remote Intelligent Medical Monitoring System Based on Internet of Things","H. Liu","Renhe Hosp. of China Three Gorges Univ., Yichang, China","2016 International Conference on Smart Grid and Electrical Automation (ICSGEA)","20161107","2016","","","42","45","This paper proposes a remote intelligent medical monitoring network solution. It can make real time acquisition and storage of physiological parameters of patients and send corresponding data to monitoring center. The location of patient can be also tracked by locating technology. The scheme can provide the doctors better methods to diagnose the patient remotely and prompt medical service, which is conducive to the realization of the patient's physiological monitoring. By the analysis of test results in monitoring network, it is found that the monitoring end can provide better medical service and it completes the expected design objects.","","CD:978-1-5090-3577-9; Electronic:978-1-5090-3578-6; POD:978-1-5090-3579-3","10.1109/ICSGEA.2016.58","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7733793","GPRS;IoT;Zibee;database;health care;medical monitoring","Biomedical monitoring;Databases;Ground penetrating radar;Medical diagnostic imaging;Medical services;Monitoring;Unified modeling language","Internet of Things;biomedical telemetry;data acquisition;patient diagnosis;patient monitoring","Internet of Things;locating technology;medical service;monitoring center;patient diagnosis;patient physiological monitoring;patient physiological parameter storage;real time acquisition;remote intelligent medical monitoring network solution;remote intelligent medical monitoring system","","1","","","","","","11-12 Aug. 2016","","IEEE","IEEE Conferences"
"Effective ways to use Internet of Things in the field of medical and smart health care","K. Ullah; M. A. Shah; S. Zhang","Department of Computer Science, COMSATS Institute of Information Technology, Islamabad, Pakistan","2016 International Conference on Intelligent Systems Engineering (ICISE)","20160523","2016","","","372","379","The recent advancements in technology and the availability of the Internet make it possible to connect various devices that can communicate with each other and share data. The Internet of Things (IoT) is a new concept that allows users to connect various sensors and smart devices to collect real-time data from the environment. However, it has been observed that a comprehensive platform is still missing in the e-Health and m-Health architectures to use smartphone sensors to sense and transmit important data related to a patient's health. In this paper, our contribution is twofold. Firstly, we critically evaluate the existing literature, which discusses the effective ways to deploy IoT in the field of medical and smart health care. Secondly, we propose a new semantic model for patients' e-Health. The proposed model named as `k-Healthcare' makes use of 4 layers; the sensor layer, the network layer, the Internet layer and the services layer. All layers cooperate with each other effectively and efficiently to provide a platform for accessing patients' health data using smart phones.","","Electronic:978-1-4673-8753-8; POD:978-1-4673-8754-5","10.1109/INTELSE.2016.7475151","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7475151","Body sensor;Cloud storage;Healthcare;IoT;RFID;Remote monitoring;e-Health;m-Health","Intelligent sensors;Internet;Medical services;Monitoring;Radiofrequency identification;Wireless sensor networks","Internet of Things;medical information systems;mobile computing;smart phones","Internet of things;IoT;k-healthcare;m-Health architectures;medical care;patient e-Health;real-time data;smart health care;smartphone sensors","","5","","25","","","","15-17 Jan. 2016","","IEEE","IEEE Conferences"
"The Internet of Things based medical emergency management using Hadoop ecosystem","M. M. Rathore; A. Ahmad; A. Paul","The School of Computer Science and Engineering, Kyungpook National University, Daegu, Korea","2015 IEEE SENSORS","20160107","2015","","","1","4","The prevalence of Internet of Things (IoT) in medical health care is bound to generate the massive volume of heterogeneous data due to the millions of medical sensors attached with various patients' body. Therefore, to process such amount of heterogeneous data in real-time to take emergency actions in critical health situation is a challenging task. Therefore, to address such issues, we proposed Hadoop-based medical emergency management system using IoT technology, which involves a network architecture with the enhanced processing features for collecting data received from millions of medical sensors attached to the human body. The amount of collected data is then forwarded to the Intelligent Building to process and perform necessary actions using various units such as, collection unit, Hadoop Processing Unit (HPU), and Analysis and decision unit. The feasibility and efficiency of the proposed system are evaluated by implementing the system on Hadoop using UBUNTU 14.04 LTS coreTMi5 machine. Sample medical, sensory datasets and real-time network traffic are considered to evaluate the efficiency of the system. The results show that the proposed system efficiently process WBAN sensory data.","","Electronic:978-1-4799-8203-5; POD:978-1-4799-8204-2","10.1109/ICSENS.2015.7370183","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7370183","Big Data;Healthcare;Intelligent Building;IoT","Artificial intelligence;Buildings;Diabetes;Intelligent sensors;Servers","Internet of Things;biomedical transducers;body area networks;body sensor networks;computerised instrumentation;data handling;ecology;emergency management;health care;medical computing;parallel processing;sensors","HPU;Hadoop ecosystem;Hadoop processing unit;Internet of Things;IoT technology;UBUNTU 14.04 LTS coreTMi5 machine;WBAN sensory data;human body;intelligent building;medical emergency management;medical health care;medical sensor;network traffic;wireless body area network","","2","","9","","","","1-4 Nov. 2015","","IEEE","IEEE Conferences"
