"Internet of Things" AND "Healthcare"
"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","3011789","Lukas  Reinfurt and Uwe  Breitenb&#252;cher and Michael  Falkenthal and Frank  Leymann and Andreas  Riegg","","","","Internet of Things Patterns","5:1--5:21","5","21","internet of things","10.1145/3011784.3011789","","","","","","","2016","","Proceedings of the 21st European Conference on Pattern Languages of Programs","EuroPlop '16","","978-1-4503-4074-8","Kaufbeuren, Germany","ACM","New York, NY, USA"
"article","3110359","Pelagia  Tsiachri Renta and Stelios  Sotiriadis and Euripides G.M. Petrakis","","","","Healthcare Sensor Data Management on the Cloud","25--30","","6","cloud computing, internet of things","10.1145/3110355.3110359","","","","","","","2017","","Proceedings of the 2017 Workshop on Adaptive Resource Management and Scheduling for Cloud Computing","ARMS-CC '17","","978-1-4503-5116-4","Washington, DC, USA","ACM","New York, NY, USA"
"article","2517976","Arun  Kanuparthi and Ramesh  Karri and Sateesh  Addepalli","","","","Hardware and Embedded Security in the Context of Internet of Things","61--64","","4","internet of things, secure iot","10.1145/2517968.2517976","","","","","","","2013","","Proceedings of the 2013 ACM Workshop on Security, Privacy &#38; Dependability for Cyber Vehicles","CyCAR '13","","978-1-4503-2487-8","Berlin, Germany","ACM","New York, NY, USA"
"article","2935684","David T. Lai","","","","Keynote Talk: Harnessing Health IOT for Smart Healthcare","1--1","","1","health technologies, internet of things (iot), smartphones, ubiquitous computing","10.1145/2933566.2935684","","","","","","","2016","","Proceedings of the First Workshop on IoT-enabled Healthcare and Wellness Technologies and Systems","IoT of Health '16","","978-1-4503-4334-3","Singapore, Singapore","ACM","New York, NY, USA"
"article","3051693","Ramine  Tinati and Aastha  Madaan and Wendy  Hall","","","","The Role of Crowdsourcing in the Emerging Internet-Of-Things","1669--1672","","4","crowdsourcing, internet-of-things, iot, web observatory","10.1145/3041021.3051693","","","","","","","2017","","Proceedings of the 26th International Conference on World Wide Web Companion","WWW '17 Companion","","978-1-4503-4914-7","Perth, Australia","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, Switzerland"
"article","3154347","Redowan  Mahmud and Fernando Luiz Koch and Rajkumar  Buyya","","","","Cloud-Fog Interoperability in IoT-enabled Healthcare Solutions","32:1--32:10","32","10","Cloud computing, Fog computing, HealthCare, Internet of Things, Interoperable architecture","10.1145/3154273.3154347","","","","","","","2018","","Proceedings of the 19th International Conference on Distributed Computing and Networking","ICDCN '18","","978-1-4503-6372-3","Varanasi, India","ACM","New York, NY, USA"
"article","2661707","Mohammad Mehedi  Hassan and Hanouf Saad  Albakr and Hmood  Al-Dossari","","","","A Cloud-Assisted Internet of Things Framework for Pervasive Healthcare in Smart City Environment","9--13","","5","cloud computing, internet of things, pervasive healthcare framework, smart city.","10.1145/2661704.2661707","","","","","","","2014","","Proceedings of the 1st International Workshop on Emerging Multimedia Applications and Services for Smart Cities","EMASC '14","","978-1-4503-3126-5","Orlando, Florida, USA","ACM","New York, NY, USA"
"article","2892310","Jaejeung  Kim and Joonyoung  Park and Uichin  Lee","","","","EcoMeal: A Smart Tray for Promoting Healthy Dietary Habits","2165--2170","","6","dietary behavior, food sensing, healthcare, internet of things, persuasive computing","10.1145/2851581.2892310","","","","","","","2016","","Proceedings of the 2016 CHI Conference Extended Abstracts on Human Factors in Computing Systems","CHI EA '16","","978-1-4503-4082-3","San Jose, California, USA","ACM","New York, NY, USA"
"article","2933572","Tapalina  Bhattasali and Nabendu  Chaki","","","","Heterogeneous Services in Layered Framework of IoT Enabled Assisted Living","19--20","","2","assisted living, heterogeneous services, internet of things, layered framework","10.1145/2933566.2933572","","","","","","","2016","","Proceedings of the First Workshop on IoT-enabled Healthcare and Wellness Technologies and Systems","IoT of Health '16","","978-1-4503-4334-3","Singapore, Singapore","ACM","New York, NY, USA"
"article","3154932","Carme  Zambrana and Sebastian  Idelsohn-Zielonka and Mireia  Claramunt-Molet and Maria  Almenara-Masbernat and Eloy  Opisso and Josep Maria Tormos and Felip  Miralles and Eloisa  Vargiu","","","","A Hierarchical Approach to Recognize Purposeful Movements Using Inertial Sensors: Preliminary Experiments and Results","335--341","","7","inertial sensors, internet of things, rehabilitation, remote monitoring","10.1145/3154862.3154932","","","","","","","2017","","Proceedings of the 11th EAI International Conference on Pervasive Computing Technologies for Healthcare","PervasiveHealth '17","","978-1-4503-6363-1","Barcelona, Spain","ACM","New York, NY, USA"
