"Internet of Things" AND "Health"
"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","3110359","Pelagia  Tsiachri Renta and Stelios  Sotiriadis and Euripides G.M. Petrakis","","","","Healthcare Sensor Data Management on the Cloud","25--30","","6","cloud computing, internet of things","10.1145/3110355.3110359","","","","","","","2017","","Proceedings of the 2017 Workshop on Adaptive Resource Management and Scheduling for Cloud Computing","ARMS-CC '17","","978-1-4503-5116-4","Washington, DC, USA","ACM","New York, NY, USA"
"article","2982188","Maxence  Bobin and Mehdi  Boukallel and Margarita  Anastassova and Mehdi  Ammi","","","","Study of a Smart Cup for Home Monitoring of the Arm andHand of Stroke Patients","305--306","","2","cup, home, internet of things, monitoring, stroke","10.1145/2982142.2982188","","","","","","","2016","","Proceedings of the 18th International ACM SIGACCESS Conference on Computers and Accessibility","ASSETS '16","","978-1-4503-4124-0","Reno, Nevada, USA","ACM","New York, NY, USA"
"article","2934894","Vikram  Iyer and Vamsi  Talla and Bryce  Kellogg and Shyamnath  Gollakota and Joshua  Smith","","","","Inter-Technology Backscatter: Towards Internet Connectivity for Implanted Devices","356--369","","14","Backscatter, Implantable Devices, Internet of things","10.1145/2934872.2934894","","","","","","","2016","","Proceedings of the 2016 ACM SIGCOMM Conference","SIGCOMM '16","","978-1-4503-4193-6","Florianopolis, Brazil","ACM","New York, NY, USA"
"article","2938581","Timothy J. Pierson and Xiaohui  Liang and Ronald  Peterson and David  Kotz","","","","Demo: Wanda, Securely Introducing Mobile Devices","113--113","","1","internet of things, mobile devices, security","10.1145/2938559.2938581","","","","","","","2016","","Proceedings of the 14th Annual International Conference on Mobile Systems, Applications, and Services Companion","MobiSys '16 Companion","","978-1-4503-4416-6","Singapore, Singapore","ACM","New York, NY, USA"
"article","2844686","Bill  Siever and Michael P. Rogers","","","","A Hands-On Introduction to the Internet of Things (Abstract Only)","715--715","","1","internet of things, mobile, mobile apps","10.1145/2839509.2844686","","","","","","","2016","","Proceedings of the 47th ACM Technical Symposium on Computing Science Education","SIGCSE '16","","978-1-4503-3685-7","Memphis, Tennessee, USA","ACM","New York, NY, USA"
"article","2935684","David T. Lai","","","","Keynote Talk: Harnessing Health IOT for Smart Healthcare","1--1","","1","health technologies, internet of things (iot), smartphones, ubiquitous computing","10.1145/2933566.2935684","","","","","","","2016","","Proceedings of the First Workshop on IoT-enabled Healthcare and Wellness Technologies and Systems","IoT of Health '16","","978-1-4503-4334-3","Singapore, Singapore","ACM","New York, NY, USA"
"article","3054990","Zheng  Dong and Yu  Gu and Lingkun  Fu and Jiming  Chen and Tian  He and Cong  Liu","","","","ATHOME: Automatic Tunable Wireless Charging for Smart Home","133--143","","11","Internet-of-Things, wireless rechargeable sensor network","10.1145/3054977.3054990","","","","","","","2017","","Proceedings of the Second International Conference on Internet-of-Things Design and Implementation","IoTDI '17","","978-1-4503-4966-6","Pittsburgh, PA, USA","ACM","New York, NY, USA"
"article","2463193","Ren&#233;  Hummen and Jan H. Ziegeldorf and Hossein  Shafagh and Shahid  Raza and Klaus  Wehrle","","","","Towards Viable Certificate-based Authentication for the Internet of Things","37--42","","6","authentication, certificates, internet of things, tls","10.1145/2463183.2463193","","","","","","","2013","","Proceedings of the 2Nd ACM Workshop on Hot Topics on Wireless Network Security and Privacy","HotWiSec '13","","978-1-4503-2003-0","Budapest, Hungary","ACM","New York, NY, USA"
"article","3013520","Elisa  Bertino and Kim-Kwang Raymond Choo and Dimitrios  Georgakopolous and Surya  Nepal","","","","Internet of Things (IoT): Smart and Secure Service Delivery","22:1--22:7","22","7","Internet of things, security and privacy","10.1145/3013520","ACM Trans. Internet Technol.","December 2016","16","4","","December","2016","1533-5399","","","","","","ACM","New York, NY, USA"
"article","2581685","Antonio J. Jara and Miguel A. Zamora and Antonio F. Skarmeta","","","","Drug Identification and Interaction Checker Based on IoT to Minimize Adverse Drug Reactions and Improve Drug Compliance","5--17","","13","AAL, Drug checker, Drug identification, Internet of things, m-Health","10.1007/s00779-012-0622-2","Personal Ubiquitous Comput.","January   2014","18","1","","January","2014","1617-4909","","","","","","Springer-Verlag","London, UK, UK"
"article","2933572","Tapalina  Bhattasali and Nabendu  Chaki","","","","Heterogeneous Services in Layered Framework of IoT Enabled Assisted Living","19--20","","2","assisted living, heterogeneous services, internet of things, layered framework","10.1145/2933566.2933572","","","","","","","2016","","Proceedings of the First Workshop on IoT-enabled Healthcare and Wellness Technologies and Systems","IoT of Health '16","","978-1-4503-4334-3","Singapore, Singapore","ACM","New York, NY, USA"
"article","3003751","Konstantinos  Karamitsios and Theofanis  Orphanoudakis and Tasos  Dagiuklas","","","","Evaluation of IoT-based Distributed Health Management Systems","9:1--9:6","9","6","CoAP, Connected Health, IEEE 11073, Internet of Things","10.1145/3003733.3003751","","","","","","","2016","","Proceedings of the 20th Pan-Hellenic Conference on Informatics","PCI '16","","978-1-4503-4789-1","Patras, Greece","ACM","New York, NY, USA"
"article","2801660","Suman  Sankar Bhunia","","","","Adopting Internet of Things for Provisioning Health-care","533--538","","6","internet of things, remote health, sensor-cloud, smart city","10.1145/2800835.2801660","","","","","","","2015","","Adjunct Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2015 ACM International Symposium on Wearable Computers","UbiComp/ISWC'15 Adjunct","","978-1-4503-3575-1","Osaka, Japan","ACM","New York, NY, USA"
"article","3139939","Daniel  Wood and Noah  Apthorpe and Nick  Feamster","","","","Cleartext Data Transmissions in Consumer IoT Medical Devices","7--12","","6","internet of things, medical devices, personal health information, privacy","10.1145/3139937.3139939","","","","","","","2017","","Proceedings of the 2017 Workshop on Internet of Things Security and Privacy","IoTS&#38;P '17","","978-1-4503-5396-0","Dallas, Texas, USA","ACM","New York, NY, USA"
"article","2892310","Jaejeung  Kim and Joonyoung  Park and Uichin  Lee","","","","EcoMeal: A Smart Tray for Promoting Healthy Dietary Habits","2165--2170","","6","dietary behavior, food sensing, healthcare, internet of things, persuasive computing","10.1145/2851581.2892310","","","","","","","2016","","Proceedings of the 2016 CHI Conference Extended Abstracts on Human Factors in Computing Systems","CHI EA '16","","978-1-4503-4082-3","San Jose, California, USA","ACM","New York, NY, USA"
"article","2093829","Nicola  Bui and Michele  Zorzi","","","","Health Care Applications: A Solution Based on the Internet of Things","131:1--131:5","131","5","communication protocols, internet of things, remote assistance, system models","10.1145/2093698.2093829","","","","","","","2011","","Proceedings of the 4th International Symposium on Applied Sciences in Biomedical and Communication Technologies","ISABEL '11","","978-1-4503-0913-4","Barcelona, Spain","ACM","New York, NY, USA"
