(((Internet-of-Things) AND Internet of Things) AND Healthcare)
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Integration of cloud computing with Internet of Things and wireless body area network for effective healthcare","S. Ahmed; M. Saqib; M. Adil; T. Ali; A. Ishtiaq","IQRA National University, Peshawar, Pakistan","2017 International Symposium on Wireless Systems and Networks (ISWSN)","20180111","2017","","","1","6","Health care systems are improving day by day. With the advancement in technology it is possible for the physician to examine the patient health before its visit to clinic through wireless sensors which could result in early diagnosis of patient. However currently remote healthcare needs an improvement in different aspects. In this paper we gave an overview about the integration of WBAN with cloud computing and IoT. How there integration can improve the healthcare system which is efficient and help physicians in taking useful decisions.","","CD:978-1-5386-1555-3; Electronic:978-1-5386-1556-0; POD:978-1-5386-1557-7","10.1109/ISWSN.2017.8250019","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8250019","Cloud computiing;IOT;Integration of IoT and cloud computing;Remote Medical Monitoring;WBAN;integration of IoT with WBAN and cloud","Body area networks;Cloud computing;Medical services;Remote monitoring;Sensors;Wireless communication;Wireless sensor networks","","","","","","","","","","19-22 Nov. 2017","","IEEE","IEEE Conferences"
"A study of integration Internet of Things with health level 7 protocol for real-time healthcare monitoring by using cloud computing","K. Plathong; B. Surakratanasakul","Department of Information Technology, King Mongkut's Institute of Technology Ladkrabang, Bangkok, Thailand","2017 10th Biomedical Engineering International Conference (BMEiCON)","20171221","2017","","","1","5","Thailand will fully enter aging society in 2025 has a major impact on the rise of patients in each country. There is much organization has tried to develop technology for support aging society. Internet of Things is one of them and it can be connected device to device. Currently, there are many medical devices in Internet of things such as wearable device, digital blood pressure device, blood glucose meter etc. The data from these devices have been used to accurate treatment patients. From the study, related literature. Researcher realizes the importance of accurate medical data transfer and can be supported amount data. This paper present conceptual framework of integration Internet of Things with Health Level 7 protocol for support real-time healthcare monitoring by using Cloud computing. The objective of the conceptual framework is to help elderly or people can check health care with themselves anywhere anytime by using the medical device in Internet of Things. These data real-time storage to Cloud computing with JSON language. So, public health and hospitals can use information for treatment patients or give advice about healthcare through web service with XML language according to Health Level 7 standard.","","Electronic:978-1-5386-0882-1; POD:978-1-5386-0883-8; USB:978-1-5386-0881-4","10.1109/BMEiCON.2017.8229134","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8229134","Cloud computing;Health Level 7;Internet of Things;Real-time healthcare monitoring system;XML","Cloud computing;Internet of Things;Medical services;Monitoring;Protocols;Real-time systems;XML","","","","","","","","","","Aug. 31 2017-Sept. 2 2017","","IEEE","IEEE Conferences"
"Internet of Things for Smart Healthcare: Technologies, Challenges, and Opportunities","S. B. Baker; W. Xiang; I. Atkinson","College of Science and Engineering, James Cook University, Townsville, QLD, Australia","IEEE Access","20171221","2017","5","","26521","26544","Internet of Things (IoT) technology has attracted much attention in recent years for its potential to alleviate the strain on healthcare systems caused by an aging population and a rise in chronic illness. Standardization is a key issue limiting progress in this area, and thus this paper proposes a standard model for application in future IoT healthcare systems. This survey paper then presents the state-of-the-art research relating to each area of the model, evaluating their strengths, weaknesses, and overall suitability for a wearable IoT healthcare system. Challenges that healthcare IoT faces including security, privacy, wearability, and low-power operation are presented, and recommendations are made for future research directions.","","","10.1109/ACCESS.2017.2775180","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8124196","Biomedical engineering;Internet of Things (IoT);body sensor networks;communications standards;intelligent systems;security;wearable sensors","Biomedical monitoring;Cloud computing;Internet of Things;Medical services;Monitoring;Standards;Strain","","","","","","","","","20171129","2017","","IEEE","IEEE Journals & Magazines"
"Lifelogging Data Validation Model for Internet of Things Enabled Personalized Healthcare","P. Yang; D. Stankevicius; V. Marozas; Z. Deng; E. Liu; A. Lukosevicius; F. Dong; L. Xu; G. Min","School of Computer Science, Liverpool John Moores University, Liverpool, U.K.","IEEE Transactions on Systems, Man, and Cybernetics: Systems","20171214","2018","48","1","50","64","Internet of Things (IoT) technology offers opportunities to monitor lifelogging data by a variety of assets, like wearable sensors, mobile apps, etc. But due to heterogeneity of connected devices and diverse human life patterns in an IoT environment, lifelogging personal data contains huge uncertainty and are hardly used for healthcare studies. Effective validation of lifelogging personal data for longitudinal health assessment is demanded. In this paper, lifelogging physical activity (LPA) is taken as a target to explore how to improve the validity of lifelogging data in an IoT enabled healthcare system. A rule-based adaptive LPA validation (LPAV) model, LPAV-IoT, is proposed for eliminating irregular uncertainties (IUs) and estimating data reliability in IoT healthcare environments. A methodology specifying four layers and three modules in LPAV-IoT is presented for analyzing key factors impacting validity of LPA. A series of validation rules are designed with uncertainty threshold parameters and reliability indicators and evaluated through experimental investigations. Following LPAV-IoT, a case study on a personalized healthcare platform myhealthavatar connecting three state-of-the-art wearable devices and mobile apps are carried out. The results reflect that the rules provided by LPAV-IoT enable efficiently filtering at least 75% of IU and adaptively indicating the reliability of LPA data on certain condition of IoT environments.","2168-2216;21682216","","10.1109/TSMC.2016.2586075","CARRE Project; MHA Project; MyLifeHub Project; iManageCancer: Empowering Patients and Strengthening Self-Management in Cancer Diseases Project which has received funding from the European Union's Horizon 2020 Research and Innovation Programme; ","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7516690","Data validation;Internet of Things (IoT);personalized healthcare;physical activity","Adaptation models;Biomedical monitoring;Data models;Internet of things;Medical services;Reliability;Uncertainty","","","","","","","","","20160719","Jan. 2018","","IEEE","IEEE Journals & Magazines"
"Secure and Reliable Internet of Things Systems for Healthcare","G. Pulkkis; J. Karlsson; M. Westerlund; J. Tana","Dept. of Bus. Manage. & Analytics, Arcada Univ. of Appl. Sci., Helsinki, Finland","2017 IEEE 5th International Conference on Future Internet of Things and Cloud (FiCloud)","20171120","2017","","","169","176","Proposals and some implementations of Internet of Things (IoT) systems for healthcare are described. Implications of current European Union legislation, the new General Data Protection Regulation, for the security and reliability of healthcare IoT systems and for the privacy of users of these systems are presented. Analytics of healthcare IoT data for the requirements of evidence based healthcare is outlined. Threats to the security and reliability of healthcare IoT systems and to the privacy of the users of these systems, security and reliability requirements, and solutions for security and enhanced reliability are described. Visions for future healthcare IoT are presented and some future research directions are proposed.","","Electronic:978-1-5386-2074-8; POD:978-1-5386-2075-5","10.1109/FiCloud.2017.50","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8114479","GDPR;IoT;device reliability;healthcare devices;healthcare services;network security;privacy;software reliability","Biomedical monitoring;Medical services;Monitoring;Reliability;Security;Sensors;Servers","Internet of Things;data privacy;health care;medical information systems","European Union legislation;General Data Protection Regulation;Internet of Things systems;evidence based healthcare;healthcare IoT data;healthcare IoT systems;reliability requirements;security requirements;users privacy","","","","","","","","21-23 Aug. 2017","","IEEE","IEEE Conferences"
"From edge to cloud: Design and implementation of a healthcare Internet of Things infrastructure","D. Masouros; I. Bakolas; V. Tsoutsouras; K. Siozios; D. Soudris","National Technical University of Athens","2017 27th International Symposium on Power and Timing Modeling, Optimization and Simulation (PATMOS)","20171116","2017","","","1","6","Lately, the advancement in circuit technology combined with the design of low cost embedded devices have resulted in an infiltration of the latter into everyday humans' lives. To exploit the full potential of ubiquitous embedded devices, a network is used for their inter-communication, offering advanced real-time monitoring. This paradigm, known as Internet of Things (IoT), is steadily consolidated and promises to offer a wide variety of applications. However, with the adoption of IoT, new challenges arise, such as the design of architectures able to support the requirements of the new applications. Towards this goal, we explore a three layered architecture, able to acquire, process and store Healthcare data as well as to provide real-time decision making. We use ECG signal arrhythmia detection as our use case evaluation scenario, and compare different techniques for wireless communication, storage and data classification. Experimental results show that, our architecture provides real-time decision making, with an average delay of 15 μs and that different communication technologies achieved to provide up to 10% lower power consumption on the monitoring devices. <sup>1</sup>","","Electronic:978-1-5090-6462-5; POD:978-1-5090-6463-2; USB:978-1-5090-6461-8","10.1109/PATMOS.2017.8106984","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8106984","","Algorithm design and analysis;Bluetooth;Cloud computing;Decision making;Electrocardiography;Feature extraction;Servers","Internet;Internet of Things;decision making;electrocardiography;embedded systems;health care;medical information systems;medical signal processing","ECG signal arrhythmia detection;IoT;advanced real-time monitoring;circuit technology;data classification;healthcare Internet-of-Things infrastructure;inter-communication;layered architecture;low cost embedded devices;monitoring devices;real-time decision making;ubiquitous embedded devices","","","","","","","","25-27 Sept. 2017","","IEEE","IEEE Conferences"
"Analog Signal Compression and Multiplexing Techniques for Healthcare Internet of Things","X. Zhao; V. Sadhu; D. Pompili","Dept. of Electr. & Comput. Eng., Rutgers Univ. - New Brunswick, New Brunswick, NJ, USA","2017 IEEE 14th International Conference on Mobile Ad Hoc and Sensor Systems (MASS)","20171116","2017","","","398","406","Scalability is a major issue for Internet of Things (IoT) as the total amount of traffic data collected and/or the number of sensors deployed grow. In some IoT applications such as healthcare, power consumption is also a key design factor for the IoT devices. In this paper, a multi-signal compression and encoding method based on Analog Joint Source Channel Coding (AJSCC) is proposed that works fully in the analog domain without the need for power-hungry Analog-to-Digital Converters (ADCs). Compression is achieved by quantizing all the input signals but one. While saving power, this method can also reduce the number of devices by combining one or more sensing functionalities into a single device (called 'AJSCC device'). Apart from analog encoding, AJSCC devices communicate to an aggregator node (FPMM receiver) using a novel Frequency Position Modulation and Multiplexing (FPMM) technique. Such joint modulation and multiplexing technique presents three mayor advantages-it is robust to interference at particular frequency bands, it protects against eavesdropping, and it consumes low power due to a very low Signal-to-Noise Ratio (SNR) operating region at the receiver. Performance of the proposed multi-signal compression method and FPMM technique is evaluated via simulations in terms of Mean Square Error (MSE) and Miss Detection Rate (MDR), respectively.","","Electronic:978-1-5386-2324-4; POD:978-1-5386-2325-1; USB:978-1-5386-2323-7","10.1109/MASS.2017.62","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8108772","Analog Signal Compression;Healthcare;IoT;Low Power;Modulation;Multiplexing;Shannon Mapping","Channel coding;Frequency division multiplexing;Medical services;Power demand;Sensors","Internet of Things;biomedical communication;combined source-channel coding;data compression;frequency modulation;health care;multiplexing;power consumption;radio receivers;telecommunication power management;telecommunication traffic","AJSCC device;Analog Joint Source Channel Coding;Analog Signal compression;FPMM receiver;FPMM technique;IoT applications;IoT devices;IoT scalability;SNR operating region;Signal-to-Noise Ratio operating region;analog domain;analog encoding;encoding method;frequency position modulation and multiplexing technique;healthcare Internet of Things;joint modulation;mean square error;miss detection rate;multiplexing technique;multisignal compression method;power consumption;power saving;traffic data","","","","","","","","22-25 Oct. 2017","","IEEE","IEEE Conferences"
"Knowledge, attitude, and practice about internet of things for healthcare","L. Liu; W. P. Chen; A. Solanas; A. L. He","Department of Medical Instruments, Affiliated Hospital of Jiangnan University 200 Huihe Road, Wuxi 214062, China","2017 International Smart Cities Conference (ISC2)","20171102","2017","","","1","4","Objectives: The Internet of Things (IoT) is an emerging technology, which appears tantalizing in the healthcare domain. Governments encourage smart city initiatives to explore its applications. To determine knowledge, attitudes and practices of healthcare institutions toward IoT applications it is very important to objectively understand effects, to systematically summarize experiences, risks and barriers, to suggest market- oriented requirements, and to provide inspiration and reference for future smart city initiatives. Methods: We designed a KAP questionnaire about the IoT for healthcare and conducted a survey among municipal hospitals in Wuxi, China in May, 2015. Results: All respondents agreed on the definition of IoT for healthcare and easily obtained knowledge about the new IoT technology. Respondents showed positive views towards valuable functions and preferred solutions with inventory or material tracking, identification and authentication to make healthcare services more effective, convenient, and safe. We have stated that it is critical to solve security, privacy, and standardization issues. Last but not least, we have observed that governmental investments had played a guiding role and promoted IoT applications. Conclusions: The pilot survey has provided important insights into the KAP of IoT applications for healthcare institutions. In the near future, a KAP survey of IoT for healthcare in other cities in China and internationally will be conducted in order to gain further insights.","","Electronic:978-1-5386-2524-8; POD:978-1-5386-2525-5; USB:978-1-5386-2523-1","10.1109/ISC2.2017.8090829","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8090829","Internet of Things;KAP;Smart city;Survey;e-Health","Authentication;Hospitals;Investment;Monitoring;Sensors;Smart cities","Internet of Things;data privacy;health care;medical computing;security of data;smart cities","Internet of Things;KAP questionnaire;governmental investments;governments;healthcare institutions;healthcare services;municipal hospitals;privacy;security;smart city initiatives;standardization issues","","","","","","","","14-17 Sept. 2017","","IEEE","IEEE Conferences"
"Lightweight Break-glass Access Control System for Healthcare Internet-of-Things","Y. Yang; X. Liu; R. H. Deng","Fuzhou China 350108 (e-mail: yang.yang.research@gmail.com)","IEEE Transactions on Industrial Informatics","","2017","PP","99","1","1","Healthcare Internet of things (IoT) has been proposed as a promising means to greatly improve the efficiency and quality of patient care. Medical devices in healthcare IoT measure patients' vital signs and aggregate these data into medical files which are uploaded to the cloud for storage and access by healthcare workers. To protect patients' privacy, encryption is normally used to enforce access control of medical files by authorized parties while prevent unauthorized access. In healthcare, it is crucial to enable timely access of patient files in emergency situations. In this paper we propose a lightweight break-glass access control (LiBAC) system which supports two ways for accessing encrypted medical files: attribute-based access and break-glass access. In normal situations, a medical worker with an attribute set satisfying the access policy of a medical file can decrypt and access the data. In emergent situations, the break-glass access mechanism bypasses the access policy of the medical file to allow timely access to the data by emergency medical care or rescue workers. LiBAC is lightweight since very few calculations are executed by devices in the healthcare IoT network, and the storage and transmission overheads are low. LiBAC is formally proved secure in the standard model and extensive experiments are conducted to demonstrate its efficiency.","1551-3203;15513203","","10.1109/TII.2017.2751640","AXA Research Fund; National Natural Science Foundation of China; National Research Foundation Singapore; ","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8036213","access control;break-glass;healthcare system;lightweight;secure IoT","Access control;Biomedical imaging;Cloud computing;Cryptography;Hip;Informatics;Medical services","","","","","","","","","20170913","","","IEEE","IEEE Early Access Articles"
"Incorporating Ethics in Internet of Things (IoT) Enabled Connected Smart Healthcare","S. Sholla; R. Naaz; M. A. Chishti","Comput. Sci. & Eng. Dept., Nat. Inst. of Technol. Srinagar, Srinagar, India","2017 IEEE/ACM International Conference on Connected Health: Applications, Systems and Engineering Technologies (CHASE)","20170817","2017","","","262","263","Emerging Internet of Things represents a paradigm shift in our understanding of modern communication networks. The basic premise is to have smart sensors collaborate directly without human involvement to deliver a new class of applications having far reaching consequences for all aspects of human life. In particular Internet of Things revolution is transforming the modern connected healthcare. However, ubiquitous nature and increased autonomy of the IoT devices raise serious concerns about the ethical complicity of connected smart healthcare applications. In this paper we present a novel method to incorporate ethics in IoT driven connected smart healthcare so that the services provided do not unwittingly infringe on the ethical rights of its beneficiaries.","","Electronic:978-1-5090-4722-2; POD:978-1-5090-4723-9; USB:978-1-5090-4721-5","10.1109/CHASE.2017.93","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8010648","connected healthcare;ethics;internet of things;smart healthcare","Business;Economics;Ethics;Internet of Things;Medical services;Monitoring","Internet of Things;ethical aspects","Internet of Things revolution;IoT devices;connected smart healthcare;ethical complicity;ethical rights;ethics;modern communication networks;smart healthcare applications;smart sensors","","","","","","","","17-19 July 2017","","IEEE","IEEE Conferences"
