(((Internet-of-Things) AND Internet of Things) AND Health)
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Internet of Things: Modem paradigm of health care","G. Smorodin; O. Kolesnichenko; Y. Kolesnichenko; L. Myakinkova; N. Prisyazhnaya; D. Yakovleva; L. Mazelis; A. Martynov; V. Pulit; D. Danilova; N. Litvak; S. Balandin","Dell EMC External Research and Academic Alliances; University of Information Technologies, Mechanics and Optics (ITMO University), St. Petersburg, Russia","2017 21st Conference of Open Innovations Association (FRUCT)","20180111","2017","","","311","320","Some results of Data Mining of scientific publication activity in Scopus database and Text Big Data analytics using API access to Google about Information transformation are presented. The whole ecosystem of Internet of Health and its place within Internet of Things are described. System analysis is given about: Big Data market in Health Care, ways of Medical Information Systems development, and the direction of hospitals transition to new condition based on three “whales” (hybrid Cloud computing, supercomputer and data center). The Internet of Things ecosystem foregrounds some important aspects related to gerontology, genetics, biorhythmology, and gravitational biology. Sociological understanding of people's role in formation of the new high IT dependence reality allows to determine the main vectors of farsighted forecast. The technological evolution can be described as subsequent stages: distribution of IT — automation — Digital transformation and Internet of Things — Big Data analytics — Artificial Intelligence solutions — people connection to Augmented Reality — Context-as-A-Service — NBIC- and GRAIN-technologies — Humanity Plus. The essence of concept “patient” is changing. Patient transforms into an e-patient (all records about patient have been digitized) and then into Internet-patient with monitoring of health parameters within the Internet of Things surrounding people. Getting Augmented Reality patient is becoming a Digital patient. Augmented Reality methods are already being developed to treat patients. Medicine as part of social structure becomes more diffuse, covering common space of Internet of Things. Medical culture acquires a new value for society. Five measures for successful transformation of Health Care in Russia are reco- mended in the article.","","Electronic:978-952-68653-2-4; POD:978-1-5386-2136-3","10.23919/FRUCT.2017.8250198","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8250198","","Analytical models;Augmented reality;Big Data;Ecosystems;Electronic medical records;Internet of Things;Medical services","","","","","","","","","","6-10 Nov. 2017","","IEEE","IEEE Conferences"
"A framework for health-care applications using Internet of Things","P. A. Mishra; B. Roy","(Computer Engineering), St. Francis Institute of Technology, Mumbai","2017 International Conference on Computing, Communication and Automation (ICCCA)","20171221","2017","","","1318","1323","The Internet of Things (IoT) is the interconnection of varied devices which when integrated with sensors and software enables the end user to collect and interchange data. In today's world, the usage of IoT allows us to connect and control remote t infrastructures, thus creating more avenues for integration of the physical and virtual world which then results in better and more accurate systems and monetary benefits. Technology plays a very important role in every aspect of human life. An emerging domain where technology plays a vital role is Medical Technology. Medical technologies that use surgeries with lower invasion, satisfactory monitoring systems and scanning equipment that surpass excellence have made it possible for patients to waste minimum time in hospitals and enjoy meaningful and healthy life at their abode. Owing to these benefits in health-care three innovations in technologies using IoT are discussed i.e. RFID, Raspberry Pi and Android and Bluetooth technology. These technologies focus on low-cost, reliability of medical equipment's in measurements and well-being of patients. The structural framework of all of these technologies is studied in depth. Finally a comparative analysis of all three technologies along with a proposed framework by combining the best features of the discussed technologies is introduced.","","Electronic:978-1-5090-6471-7; POD:978-1-5090-6472-4","10.1109/CCAA.2017.8230001","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8230001","Android & Bluetooth;Internet of Things (IoT);Medical Technology;RF Identification;Sensors","Androids;Humanoid robots;Monitoring;Radiofrequency identification;Temperature measurement;Temperature sensors","","","","","","","","","","5-6 May 2017","","IEEE","IEEE Conferences"
"A study of integration Internet of Things with health level 7 protocol for real-time healthcare monitoring by using cloud computing","K. Plathong; B. Surakratanasakul","Department of Information Technology, King Mongkut's Institute of Technology Ladkrabang, Bangkok, Thailand","2017 10th Biomedical Engineering International Conference (BMEiCON)","20171221","2017","","","1","5","Thailand will fully enter aging society in 2025 has a major impact on the rise of patients in each country. There is much organization has tried to develop technology for support aging society. Internet of Things is one of them and it can be connected device to device. Currently, there are many medical devices in Internet of things such as wearable device, digital blood pressure device, blood glucose meter etc. The data from these devices have been used to accurate treatment patients. From the study, related literature. Researcher realizes the importance of accurate medical data transfer and can be supported amount data. This paper present conceptual framework of integration Internet of Things with Health Level 7 protocol for support real-time healthcare monitoring by using Cloud computing. The objective of the conceptual framework is to help elderly or people can check health care with themselves anywhere anytime by using the medical device in Internet of Things. These data real-time storage to Cloud computing with JSON language. So, public health and hospitals can use information for treatment patients or give advice about healthcare through web service with XML language according to Health Level 7 standard.","","Electronic:978-1-5386-0882-1; POD:978-1-5386-0883-8; USB:978-1-5386-0881-4","10.1109/BMEiCON.2017.8229134","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8229134","Cloud computing;Health Level 7;Internet of Things;Real-time healthcare monitoring system;XML","Cloud computing;Internet of Things;Medical services;Monitoring;Protocols;Real-time systems;XML","","","","","","","","","","Aug. 31 2017-Sept. 2 2017","","IEEE","IEEE Conferences"
"Health monitoring and tracking system for soldiers using Internet of Things(IoT)","N. Patii; B. Iyer","Department of E & TC Engineering, Dr. Babasaheb Ambedkar Technological University, Maharashtra, Lonere-402103, India","2017 International Conference on Computing, Communication and Automation (ICCCA)","20171221","2017","","","1347","1352","The paper reports an Internet of Thing (IoT) based health monitoring and tracking system for soldiers. The proposed system can be mounted on the soldier's body to track their health status and current location using GPS. These information will be transmitted to the control room through IoT. The proposed system comprise of tiny wearable physiological equipment's, sensors, transmission modules. Hence, with the use of the proposed equipment, it is possible to implement a low cost mechanism to protect the valuable human life on the battlefield.","","Electronic:978-1-5090-6471-7; POD:978-1-5090-6472-4","10.1109/CCAA.2017.8230007","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8230007","Arduino board;Biomedical sensors;GPS;IoT;Oxygen Analyzer;Remote health monitoring;Tracking","Biomedical monitoring;Global Positioning System;Monitoring;Real-time systems;Temperature measurement;Temperature sensors","","","","","","","","","","5-6 May 2017","","IEEE","IEEE Conferences"
"Everything You Wanted to Know about Smart Health Care: Evaluating the Different Technologies and Components of the Internet of Things for Better Health","P. Sundaravadivel; E. Kougianos; S. P. Mohanty; M. K. Ganapathiraju","Computer Science and Engineering, University of North Texas, Denton, United States","IEEE Consumer Electronics Magazine","20171213","2018","7","1","18","28","The Internet-of-Things (IoT) has taken over the business spectrum, and its applications vary widely from agriculture and health care to transportation. A hospital environment can be very stressful, especially for senior citizens and children. With the ever-increasing world population, the conventional patient-doctor appointment has lost its effectiveness. Hence, smart health care becomes very important. Smart health care can be implemented at all levels, starting from temperature monitoring for babies to tracking vital signs in the elderly. The complexity and cost of implementation varies based on the required precision of the individual device, functionalities, and sophistication of the application for which they are used. Smart health care also falls under vertical areas such as very-large-scale integration, embedded system, big data, machine learning, cloud computing, and artificial intelligence. This article discusses the importance, requirements, application of smart health care along with the current industry trends and products. It gives a deeper insight about the different platform across which more research can be pursued in this dynamic domain.","2162-2248;21622248","","10.1109/MCE.2017.2755378","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8197457","","Computer architecture;Hospitals;Intelligent sensors;Internet of Things;Medical services;Smart devices;Wireless sensor networks","Internet of Things;health care;patient monitoring","Internet of Things;IoT;agriculture;business spectrum;hospital environment;patient-doctor appointment;smart health care;temperature monitoring;transportation","","","","","","","","Jan. 2018","","IEEE","IEEE Journals & Magazines"
"A framework for IoT and E-Health systems integration based on the social Internet of Things paradigm","G. Ruggeri; O. Briante","DIIES, Universit&#x00E0; Mediterranea di Reggio, Calabria, Italy","2017 International Symposium on Wireless Communication Systems (ISWCS)","20171116","2017","","","426","431","According to the World Health Organization (WHO) the population of the developed countries is rapidly ageing. Despite the perspective of a longer life is a blessing for the mankind, it also implies a growing number of elderly people who may need permanent medical monitoring and constant assistance to conduct daily activities. A viable approach to guarantee those people a good quality of life is the design and deployment of E-health systems. In this context, the rising paradigm of the Internet of Things (IoT) has the potential to determine a leap forward in the evolution of E-health systems. This paper focuses on the emerging paradigm of Social Internet of Things (SIoT) as an enabler of the sought integration and provides a feasible framework for E-Health systems based on IoT, which can offer efficient and effective services to people in the need to receive constant care.","","Electronic:978-1-5386-2913-0; POD:978-1-5386-2914-7","10.1109/ISWCS.2017.8108152","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8108152","E-Health;Social Internet of Things","Aging;Internet of Things;Medical services;Monitoring;Performance evaluation;Protocols","Internet of Things;geriatrics;health care;medical computing;patient monitoring","E-Health systems integration;IoT;Social Internet of Things paradigm;World Health Organization;developed countries;elderly people;permanent medical monitoring","","","","","","","","28-31 Aug. 2017","","IEEE","IEEE Conferences"
"Monitoring patient's health with smart ambulance system using Internet of Things (IOTs)","H. N. Saha; N. F. Raun; M. Saha","Department of Computer Science & Engineering, Institute of Engineering and Management, Kolkata, India","2017 8th Annual Industrial Automation and Electromechanical Engineering Conference (IEMECON)","20171023","2017","","","91","95","India is one of the most populous countries of the world. Due to over population, ignorance of health have been remained the major problems in India. For every one minute a death swoops in because of heart attack. To save a life is auspicious as well as precious. The idea here is to provide an intelligent smart health system using some sensors and microcontrollers; it will sense the body condition and send the data to the collaborated hospital's website. If the condition is critical, an ambulance is allotted to that particular location where the patient lives. To reach the destination on time the driver will use google map with the help of the website and to avoid accident, obstacles, integrated hardware is made using by Arduino and sensors.","","Electronic:978-1-5386-2215-5; POD:978-1-5386-2216-2; USB:978-1-5386-2214-8","10.1109/IEMECON.2017.8079568","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8079568","Internet of things;smart ambulance;smart health","Accidents;Intelligent sensors;Internet of Things;Light emitting diodes;Monitoring;Temperature sensors","Internet;Internet of Things;health care;microcontrollers;patient monitoring;sensors","Arduino;Google map;IOTs;India;Internet of Things;collaborated hospital Web site;heart attack;intelligent smart health system;microcontrollers;patient health monitoring;sensors;smart ambulance system","","","","","","","","16-18 Aug. 2017","","IEEE","IEEE Conferences"
"Health monitoring using Internet of Things (IoT)","H. N. Saha; S. Auddy; S. Pal; S. Kumar; S. Pandey; R. Singh; A. K. Singh; P. Sharan; D. Ghosh; S. Saha","Deptt. Of Computer Science & Engineering, Institute of Engineering & Management, Kolkata","2017 8th Annual Industrial Automation and Electromechanical Engineering Conference (IEMECON)","20171023","2017","","","69","73","Health is the level of useful and metabolic potency of a living organism. In humans, it is the power of people or communities to adapt and self-manage once facing physical, mental, psychological and social changes. Keeping track of the health standing of the patient reception may be a troublesome task. Specially maturity patients ought to be sporadically monitored and their adored ones got to learn concerning their health standing from time to time whereas at work. During this paper, our objective is to trace patient's health with the assistance of sensors and internet. Internet is employed to tell their beloved if there is a drag. The health observation system can keep track of patient's pulse rate, eco rate of heart, pressure level rate, temperature etc. If system detects any abrupt changes in patient heartbeat or temperature, the system mechanically alerts the user concerning the patients standing over IOT and additionally shows details of heartbeat and temperature of patient live over the internet.","","Electronic:978-1-5386-2215-5; POD:978-1-5386-2216-2; USB:978-1-5386-2214-8","10.1109/IEMECON.2017.8079564","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8079564","Health Monitoring;Heartbeat;blood pressure;doctor;illness;pulse rate","Biomedical monitoring;Cloud computing;Internet of Things;Medical services;Monitoring;Temperature sensors","Internet;Internet of Things;cardiology;computerised monitoring;emergency services;health care;psychology;telemedicine","Internet of Things;IoT;health monitoring;health observation system;health standing;living organism;maturity patients;mental changes;metabolic potency;patient heartbeat;patient reception;physical changes;pressure level rate;psychological changes;social changes","","","","","","","","16-18 Aug. 2017","","IEEE","IEEE Conferences"
"Eradicating health communication inequalities in the internet of things era","M. A. N. P. Gunasekara; M. Fernando","Faculty of Management Studies and Commerce, University of Sri Jayewardenepura, Sri Lanka","2017 International Conference on IoT and Application (ICIOT)","20171019","2017","","","1","3","Benefits of electronic social environments created with the support of IoT enabled devices can be augmented parallel to the communication power of users in equal levels. Even thougha variety of models and frameworks which describe factors associated with the eHealth literacy and online health information seeking behavior are available, it is very rare to have a framework which elucidates the role of social capital in health communication inequalities. Hence, the intent of this study is to develop a framework to explore socio-demographic, social determinants, and social networks' influences on eHealth literacy and online health information seeking among adults. To develop the conceptual framework, the authors reviewed the existing literature on health literacy with the support of Structural Influence Model of Health Communication (SIMHC). The authors anticipate this conceptual framework can serve as a catalyst for better health communication and future research is required to test the relationships in the framework.","","Electronic:978-1-5386-1698-7; POD:978-1-5386-1699-4","10.1109/ICIOTA.2017.8073620","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8073620","Health Communication Inequalities;Health Literacy;Social Capital","Internet of Things;Media;Social network services;Sociology","Internet;Internet of Things;behavioural sciences computing;health care;information retrieval;social networking (online)","SIMHC;Structural Influence Model-of-Health Communication;eHealth literacy;electronic social environments;health communication inequalities;health literacy;internet of things era;online health information seeking behavior;social capital;social determinants;social networks;socio-demographic determinants","","","","","","","","19-20 May 2017","","IEEE","IEEE Conferences"
"3D printed wearable flexible SIW and microfluidics sensors for Internet of Things and smart health applications","W. Su; Z. Wu; Y. Fang; R. Bahr; P. M. Raj; R. Tummala; M. M. Tentzeris","School of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, GA 30332","2017 IEEE MTT-S International Microwave Symposium (IMS)","20171005","2017","","","544","547","In this paper, a flexible SIW wearable sensing platform is proposed with a novel 3D printing process which enables fast-prototyping customized wearable devices. The fabrication utilizes state-of-the-art SLA 3D printing that features fast prototyping of easy-to-reconfigure flexible 3D objects. Two different flexible metallization approaches are explored in this paper, which are complementary to each other and provide an excellent 3D metallization solution together. Two 3D shape SIW transmission lines are shown with a great flexibility and great potential for wearable devices. Moreover, based on a SIW slot waveguide antenna, this paper presents a proof-of-concept microfluidics sensor with sensitivity of 1.7 MHz/Er, which can be used as a wearable sensing device for real-time monitoring of body fluids. The proposed SIW-based flexible wearable devices along with the microfluidics sensors can be used in various Internet-of-Things applications, such as smart health and food quality monitoring.","","Electronic:978-1-5090-6360-4; POD:978-1-5090-6361-1","10.1109/MWSYM.2017.8058621","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8058621","3D printing;Internet-of-Things;SIW;Smart health;flexible waveguides;microfluidics;wearable sensors","Biomedical monitoring;Metallization;Prototypes;Three-dimensional displays;Three-dimensional printing;Wearable sensors","Internet of Things;biomedical equipment;intelligent sensors;metallisation;microfluidics;microsensors;slot antennas;substrate integrated waveguides;three-dimensional printing;transmission lines;wearable antennas","3D metallization solution;3D printed wearable flexible SIW;3D shape SIW transmission lines;Internet of Things;Internet-of-Things applications;SIW slot waveguide antenna;body fluid real time monitoring;easy-to-reconfigure flexible 3D objects;flexible SIW wearable sensing platform;flexible metallization approaches;flexible wearable devices;microfluidics sensors;proof-of-concept microfluidics sensor;smart health applications;state-of-the-art SLA 3D printing;wearable sensing device","","","","","","","","4-9 June 2017","","IEEE","IEEE Conferences"
