"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Automatic Ocular Disease Screening and Monitoring Using a Hybrid Cloud System","F. Yin; B. H. Lee; A. P. Yow; Y. Quan; D. W. K. Wong","NA; NA; NA; NA; NA","2016 IEEE International Conference on Internet of Things (iThings) and IEEE Green Computing and Communications (GreenCom) and IEEE Cyber, Physical and Social Computing (CPSCom) and IEEE Smart Data (SmartData)","","2016","","","263","268","","","","10.1109/iThings-GreenCom-CPSCom-SmartData.2016.68","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7917096","Internet of Things;healthcare;ocular diseases;disease screening;computer aided diagnosis;cloud computing","Diseases;Cloud computing;Retina;Biomedical optical imaging;Optical imaging","cloud computing;diseases;health care;image classification;Internet of Things;medical image processing","hybrid cloud system;healthcare IT systems;advanced image and data analysis techniques;medical devices;cloud-based system;advanced pattern classification algorithms;ophthalmologists;disease detection;ocular disease screening","","","","","","","","","IEEE","IEEE Conferences"
"IoT Security (IoTSec) Mechanisms for e-Health and Ambient Assisted Living Applications","D. Minoli; K. Sohraby; B. Occhiogrosso","NA; NA; NA","2017 IEEE/ACM International Conference on Connected Health: Applications, Systems and Engineering Technologies (CHASE)","","2017","","","13","18","","","","10.1109/CHASE.2017.53","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8010568","IoT Security;e-Health;IoT Architecture;Big Data","Security;Computer architecture;Sensors;Monitoring;Standards;Assisted living","assisted living;Big Data;computer network security;Internet of Things;medical computing","IoT security mechanisms;e-health;ambient assisted living applications;IoTSec;Internet Of Things;IoT ecosystem;cybersecurity breaches;big data;security event processing;IoT protocol architecture;security tools","","","","","","","","","IEEE","IEEE Conferences"
"Quality of Service Assurance for Internet of Things Time-Critical Cloud Applications: Experience with the Switch and Entice Projects","S. Taherizadeh; V. Stankovski","NA; NA","2017 6th IIAI International Congress on Advanced Applied Informatics (IIAI-AAI)","","2017","","","289","294","","","","10.1109/IIAI-AAI.2017.209","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8113258","Internet of Things;monitoring;adaptation;cloud","Monitoring;Servers;Cloud computing;Containers;Measurement;Quality of service;Probes","cloud computing;Internet of Things;object-oriented programming;quality of service;software engineering","Service assurance;Things time-critical cloud applications;Things applications;home automation;disaster early warning systems;human life;software engineering disciplines;cloud computing technologies;time-critical Quality;Service aspects;QoS;service tasks;containerized applications;multilevel monitoring systems;multilevel monitoring framework;system health;IoT application;computational requirements;cloud application adaptation possibility;container-based application instances","","","","","","","","","IEEE","IEEE Conferences"
"Towards privacy and ownership preserving of outsourced health data in IoT-cloud context","Y. Ould-Yahia; S. Bouzefrane; H. Boucheneb","CEDRIC Lab., CNAM Paris, France; CEDRIC Lab., CNAM Paris, France; VeriForm Lab., Ecole Polytechnique de Montr&#x00E9;al, Montr&#x00E9;al, Canada","2018 International Symposium on Programming and Systems (ISPS)","","2018","","","1","6","","","","10.1109/ISPS.2018.8379018","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8379018","e-Health;IoT;Cloud;Privacy;ABE","Cloud computing;Encryption;Data privacy;Biomedical monitoring;Public key","authorisation;cloud computing;cryptography;data privacy;Internet of Things;medical computing;outsourcing","outsourced health data;IoT-cloud context;in-home-monitoring applications;data-owner access control;anonymous data access;curious cloud service providers;heavy computational tasks;decryption processes;complete ABE-encryption algorithms;complex outsourcing process;efficient symmetric encryption;data-owner centric privacy model","","","","","","","","","IEEE","IEEE Conferences"
"Energy efficient IoT thermometer based on fuzzy logic for fever monitoring","S. Mandala; S. N. Anggis; M. S. Mubarok; Shamila","Informatics Enginering, School of Computing, Telkom University; Informatics Enginering, School of Computing, Telkom University; Informatics Enginering, School of Computing, Telkom University; Informatics Enginering, School of Computing, Telkom University","2017 5th International Conference on Information and Communication Technology (ICoIC7)","","2017","","","1","6","","","","10.1109/ICoICT.2017.8074640","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8074640","Healthcare;Monitoring;Digital;Logic fuzzy;Thermometer;IoT","Temperature measurement;Monitoring;Fuzzy systems;Fuzzy logic;Temperature sensors;Temperature distribution;Testing","biomedical telemetry;fuzzy logic;health care;Internet of Things;pacemakers;patient monitoring;telemetry;thermometers","Remote Digital Blood Pressure;energy issues;energy consumption;data transmission;monitoring fever body temperature;HI-Thermo;adaptive system;fuzzy logic;Hi-Thermo;fever body temperature monitoring;existing traditional monitoring;energy efficient IoT;fever monitoring;Information Communication Technology;health services;digital systems;WIFI digital thermometer;Telemetry Digital Pacemaker;HI","","","","","","","","","IEEE","IEEE Conferences"
"Sequential decision-making in healthcare IoT: Real-time health monitoring, treatments and interventions","D. Zois","Coordinated Science Laboratory, University of Illinois, Urbana-Champaign, Urbana, IL 61801","2016 IEEE 3rd World Forum on Internet of Things (WF-IoT)","","2016","","","24","29","","","","10.1109/WF-IoT.2016.7845446","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7845446","Markov decision processes;constrained Markov decision processes;partially observable Markov decision processes;semi-Markov decision processes;partially observable semi-Markov decision processes;multi-armed bandits;stochastic optimal control;dynamic programming;e-health","","decision making;health care;Internet of Things;medical computing;patient monitoring;real-time systems","sequential decision-making;healthcare IoT;real-time health monitoring;Internet of Things technology;healthcare delivery;networked body sensing devices;mental health;medical decisions;MDP;partially observable MDPs;POMDP","","","","","","","","","IEEE","IEEE Conferences"
"CS-based fall detection for connected health applications","H. Djelouat; H. Baali; A. Amira; F. Bensaali","College of Engineering, Qatar University, Doha, Qatar, P. O. Box: 2713; College of Engineering, Qatar University, Doha, Qatar, P. O. Box: 2713; College of Engineering, Qatar University, Doha, Qatar, P. O. Box: 2713; College of Engineering, Qatar University, Doha, Qatar, P. O. Box: 2713","2017 Fourth International Conference on Advances in Biomedical Engineering (ICABME)","","2017","","","1","4","","","","10.1109/ICABME.2017.8167540","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8167540","Fall Detection;Compressed sensing;classification;Connected Health;IoT","Acceleration;Senior citizens;Biomedical monitoring;Accelerometers;Detectors;Testing","accelerometers;biomedical measurement;geriatrics;injuries;medical signal processing","automated fall detection devices;compressively sensed data;acceleration data;daily living scenarios;binary sensing matrix;automated fall detectors;indirect societal costs;surfer;financial costs;physiological costs;direct physical costs;public-health burden;elderly people;fall-related injuries;connected health applications","","","","","","","","","IEEE","IEEE Conferences"
"Trust-Based Decision Making for Health IoT Systems","H. Al-Hamadi; I. R. Chen","Department of Computer Science, Kuwait University, Safat, Kuwait; Department of Computer Science, Virginia Polytechnic Institute and State University, Blacksburg, VA, USA","IEEE Internet of Things Journal","","2017","4","5","1408","1419","","","","10.1109/JIOT.2017.2736446","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8002573","Decision trust;health Internet of Things;Internet of Things (IoT);trust management;trust-based decision making","Decision making;Protocols;Security;Internet of Things;Sensors;Reliability;Medical services","decision making;health care;Internet of Things;medical computing;security of data;trusted computing","health IoT system;environmental health community;collective knowledge base;trust-based decision making;trust-based information sharing;trust-based health IoT protocol","","","","","","","","","IEEE","IEEE Journals & Magazines"
"Algorithm for 3D orientation estimation based on Kalman Filter and Gradient Descent","S. Yean; B. S. Lee; C. K. Yeo; C. H. Vun","School of Computer Science and Engineering, Nanyang Technological University, Singapore; School of Computer Science and Engineering, Nanyang Technological University, Singapore; School of Computer Science and Engineering, Nanyang Technological University, Singapore; School of Computer Science and Engineering, Nanyang Technological University, Singapore","2016 IEEE 7th Annual Information Technology, Electronics and Mobile Communication Conference (IEMCON)","","2016","","","1","6","","","","10.1109/IEMCON.2016.7746263","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7746263","Future healthcare;IoT;mobile MEMS sensor;low-cost motion sensor;wearable sensors;Rehablitation","Gyroscopes;Magnetometers;Kalman filters;Accelerometers;Quaternions;Sensors;Tracking","accelerometers;gradient methods;gyroscopes;Kalman filters;magnetometers","magnetometer;accelerometer;error covariance;adaptive Kalman Filter;IMU sensors;inertial measurement unit;clinical prognosis;wearable device orientation;gradient descent;Kalman Filter;3D orientation estimation algorithm","","","","","","","","","IEEE","IEEE Conferences"
"Digital Health in the Era of Extreme Automation","J. Fiaidhi; S. Mohammed","Lakehead University; Lakehead University","IT Professional","","2018","20","3","90","95","","","","10.1109/MITP.2018.032501754","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8378973","digital health;extreme automation;Internet of Things;connected health;smart health;healthcare;digital healthcare;IoT;IoT and healthcare","Medical treatment;Internet of Things;Smart healthcare;Point of care;Patient monitoring;Interoperability","health care;medical computing","digital health;extreme automation;healthcare industry;connectivity","","","","","","","","","IEEE","IEEE Journals & Magazines"
