"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"The future of data privacy and security concerns in Internet of Things","Z. A. Solangi; Y. A. Solangi; S. Chandio; M. bt. S. Abd. Aziz; M. S. bin Hamzah; A. Shah","Kulliyah of Information and Communication Technology, International Islamic University Malaysia, Kuala Lumpur; Computer Science Department Shah Abdul University Khairpur Pakistan; Institute of Mathematics & Computer Science, University of Sindh Jamshoro, Pakistan; Kulliyah of Information and Communication Technology, International Islamic University Malaysia, Kuala Lumpur; Kulliyah of Information and Communication Technology, International Islamic University Malaysia, Kuala Lumpur; Kulliyah of Information and Communication Technology, International Islamic University Malaysia, Kuala Lumpur","2018 IEEE International Conference on Innovative Research and Development (ICIRD)","","2018","","","1","4","","","","10.1109/ICIRD.2018.8376320","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8376320","IoT Security;Internet of Health Things;Privacy;Trust;network security","Security;Internet of Things;Privacy;Medical services;Organizations;Data privacy","data privacy;Internet of Things;security of data","Internet of Medical Things;malicious attacks;Industrial Internet of Things;IoT devices;smart objects;IoT connectivity;laundry machines;smart home appliances;world-spanning information fabric;massive data centers;ambient network-computing environment;invisible network-computing environment;immersive network-computing environment;global network-computing environment;security concerns;data privacy","","","","","","","","","IEEE","IEEE Conferences"
"Internet of medical things: Architectural model, motivational factors and impediments","M. Irfan; N. Ahmad","Dept. of Computer Science, King Khaild University, Abha, Kingdom of Saudi Arabia; Dept. of Information System, King Khaild University, Abha, Kingdom of Saudi Arabia","2018 15th Learning and Technology Conference (L&T)","","2018","","","6","13","","","","10.1109/LT.2018.8368495","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8368495","Internet of Things;Internet of Medical Things (IoMT);Motivational Factors for IoMT;Impediments for IoMT;Architecture of IoMT","Medical services;Internet of Things;Security;Computer architecture;Protocols;Logic gates;Cloud computing","data privacy;health care;Internet of Things;medical computing","medical professionals;architectural model;motivational factors;medical field;innovation adoption;content analysis;Internet of medical things;IoMT security;healthcare industry","","","","","","","","","IEEE","IEEE Conferences"
"Functional Assessment of Stenotic Coronary Artery in 3D Geometric Reconstruction From Fusion of Intravascular Ultrasound and X-Ray Angiography","X. Wang; C. Peng; X. Liu; Z. Pan","Department of Cardiology, Shenzhen Sun Yat-Sen Cardiovascular Hospital, Shenzhen, China; Department of Cardiology, Shenzhen Sun Yat-Sen Cardiovascular Hospital, Shenzhen, China; Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences, Shenzhen, China; Guangdong Industrial Institute of Virtual Reality, Foshan University, Foshan, China","IEEE Access","","2018","6","","53330","53341","","","","10.1109/ACCESS.2018.2870950","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8470088","Coronary angiography;intravascular ultrasound;3-D reconstruction;fractional flow reserve (FFR);computational fluid dynamics (CFD);TIMI (thrombolysis in myocardial infarction)","Arteries;Catheters;Angiography;Image reconstruction;Ultrasonic imaging;Lesions;Solid modeling","","","","","","","","","","","IEEE","IEEE Journals & Magazines"
"Experimental Evaluation of Impulsive Ultrasonic Intra-Body Communications for Implantable Biomedical Devices","G. E. Santagati; T. Melodia","Department of Electrical and Computer Engineering, Northeastern University, Boston, MA; Department of Electrical and Computer Engineering, Northeastern University, Boston, MA","IEEE Transactions on Mobile Computing","","2017","16","2","367","380","","","","10.1109/TMC.2016.2561277","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7463487","Body area networks;body sensor networks;implantable medical devices;Internet of medical things;ultrasonic communications and networking;acoustic communications and networking","Acoustics;Radio frequency;Media Access Protocol;Attenuation;Monitoring;Implants;Wireless communication","access protocols;biomedical materials;biomedical ultrasonics;body sensor networks;ultrasonic propagation","small-scale fading;statistical model;implantable devices;video monitoring medical application;FPGA-based prototype implementation;tissue mimicking materials;ultrasonic communications;software-defined testbed architecture;medium access control layer protocol;Ultrasonic WideBand;ultrasonic waves;radio frequency propagation;intrabody area network;actuators;miniaturized implantable sensors;biomedical systems;implantable biomedical devices;impulsive ultrasonic intrabody communications;experimental evaluation","","","","","","","","","IEEE","IEEE Journals & Magazines"
"Deep Convolution Neural Network and Autoencoders-Based Unsupervised Feature Learning of EEG Signals","T. Wen; Z. Zhang","Software School, Xiamen University, Xiamen, China; Software School, Xiamen University, Xiamen, China","IEEE Access","","2018","6","","25399","25410","","","","10.1109/ACCESS.2018.2833746","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8355473","EEG;unsupervised learning;feature extraction;CNN;epileptic seizure","Electroencephalography;Feature extraction;Brain modeling;Convolution;Epilepsy;Training;Deconvolution","convergence;diseases;electroencephalography;feature extraction;feedforward neural nets;learning (artificial intelligence);medical signal processing;principal component analysis;random processes;signal classification;unsupervised learning","AE-CDNN model;artificial intelligence;autoencoders-based model;feature classification;principal component analysis;sparse random projection;convergence;feature extraction;epilepsy recognition;EEG signals;unsupervised feature learning;deep convolution network;deep learning model","","","","","","","","","IEEE","IEEE Journals & Magazines"
"Cognitive Privacy Middleware for Deep Learning Mashup in Environmental IoT","A. M. Elmisery; M. Sertovic; B. B. Gupta","Department of Electronics Engineering, Universidad Tecnica Federico Santa Maria, Valparaiso, Chile; Faculty of Humanities and Social Sciences, University of Zagreb, Zagreb, Croatia; National Institute of Technology Kurukshetra, Kurukshetra, India","IEEE Access","","2018","6","","8029","8041","","","","10.1109/ACCESS.2017.2787422","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8240886","IoT networks;cloud computing;environmental monitoring;smart cities;big data mashup;multimedia data","Mashups;Fires;Privacy;Environmental monitoring;Data privacy;Multimedia communication;Sensors","cloud computing;data analysis;data mining;data privacy;environmental monitoring (geophysics);environmental science computing;Internet;Internet of Things;learning (artificial intelligence);middleware;mobile computing;wavelet transforms;Web services","cognitive privacy middleware;deep learning mashup;single Web application;mashup application;data mashup service;data analytics;cognitive-based middleware;private data mashup;centralized environmental monitoring service;multimedia data;environmental deep learning service;environmental IoT","","","","","","","","","IEEE","IEEE Journals & Magazines"
"Automatic Tongue Verification Based on Appearance Manifold Learning in Image Sequences for the Internet of Medical Things Platform","Y. Xin; Y. Cao; Z. Liu; Y. Chen; L. Cui; Y. Zhu; H. Hou; G. Zhao; M. Wang","Centre of Information Security, Beijing University of Posts and Telecommunications, Beijing, China; School of Information Science and Engineering, Shandong University, Qingdao, China; Guizhou Provincial Key Laboratory of Public Big Data, Guizhou University, Guiyang, China; Guizhou Provincial Key Laboratory of Public Big Data, Guizhou University, Guiyang, China; School of Software, Shandong University, Jinan, China; School of Information Science and Engineering, Shandong University, Qingdao, China; Centre of Information Security, Beijing University of Posts and Telecommunications, Beijing, China; Beijing University of Civil Engineering and Architecture, Beijing, China; State Key Laboratory of ASIC & Systems, the School of Microelectronics, Fudan University, Shanghai, China","IEEE Access","","2018","6","","43885","43891","","","","10.1109/ACCESS.2018.2859913","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8421233","Human tongue;biometrics;appearance manifold learning;image sequence;LPP and IoMT","Tongue;Manifolds;Image sequences;Approximation algorithms;Biometrics (access control);Shape;Principal component analysis","","","","","","","","","","","IEEE","IEEE Journals & Magazines"
"A High-Precision Wavelength Demodulation Method Based on Optical Fiber Fabry-Perot Tunable Filter","W. Zhu; J. Wang; J. Jiang; X. Liu; T. Liu","College of Precision Instrument and Optoelectronics Engineering, Tianjin University, Tianjin, China; College of Precision Instrument and Optoelectronics Engineering, Tianjin University, Tianjin, China; College of Precision Instrument and Optoelectronics Engineering, Tianjin University, Tianjin, China; Tian Jin Global Magnetic Card Co., Ltd., Tianjin, China; College of Precision Instrument and Optoelectronics Engineering, Tianjin University, Tianjin, China","IEEE Access","","2018","6","","45983","45989","","","","10.1109/ACCESS.2018.2866060","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8438872","Data acquisition card;demodulation algorithm;fiber Bragg grating;Fabry-Perot;F-P etalon;fiber F-P tunable filter;temperature sensing system","Demodulation;Data acquisition;Light sources;Fiber gratings;Optical sensors","Bragg gratings;calibration;data acquisition;demodulation;Fabry-Perot interferometers;fibre optic sensors;optical fibre filters;optical tuning;reflectivity;temperature sensors","high-precision wavelength demodulation method;optical fiber Fabry-Perot tunable filter;fiber Bragg grating temperature sensing system;original sampling data;data acquisition card;F-P etalon;fiber Bragg grating sensors;transmission spectrum wavelength;reflectance spectrum central wavelength;FPE sensors;fiber FPT filter;wavelength demodulation accuracy;perturbation effect;narrowband light source;numerical error;measurement accuracy;programming languages;calibration","","","","","","","","","IEEE","IEEE Journals & Magazines"
"Demo abstract: Monitoring co-movement of smart objects using accelerometer data","L. E. Talavera; M. Endler; F. Silva da Silva","Department of Informatics, Pontif&#x00ED;cia Universidade Cat&#x00F3;lica do Rio de Janeiro; Department of Informatics, Pontif&#x00ED;cia Universidade Cat&#x00F3;lica do Rio de Janeiro; Department of Informatics, Federal University of Maranh&#x00E3;o","2015 IEEE International Conference on Pervasive Computing and Communication Workshops (PerCom Workshops)","","2015","","","214","216","","","","10.1109/PERCOMW.2015.7134026","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7134026","Internet of Mobile Things;Mobile Sensor Analysis;Middleware;Co-movement","Mobile communication;Accelerometers;Internet;Middleware;Robot sensing systems;Bluetooth;Wireless sensor networks","Bluetooth;Internet of Things;middleware;mobile computing","smart object co-movement monitoring;accelerometer data;Internet of Mobile Things;IoMT applications;mobile middleware component;smartphone;complex event processing;SensorTags;Bluetooth low energy","","","","","","","","","IEEE","IEEE Conferences"
"Agent-Based System Architecture Supporting Remote Collaboration via an Internet of Multimedia Things Approach","Y. Kaeri; C. Moulin; K. Sugawara; Y. Manabe","Graduate School of Computer and Information Science, Chiba Institute of Technology, Narashino, Japan; Centre de Recherche de Royallieu 60205 Compiègne Cedex, Sorbonne Universités, Université de Technologie de Compiègne JR Unit - CNRS 7253, Heudiasyc, France; Faculty of Information and Network Science, Chiba Institute of Technology, Narashino, Japan; Faculty of Information and Network Science, Chiba Institute of Technology, Narashino, Japan","IEEE Access","","2018","6","","17067","17079","","","","10.1109/ACCESS.2018.2796307","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8265171","Agent-based architecture;channel;Internet of multimedia things;multimedia resource;remote collaboration support","Multimedia communication;Collaboration;Streaming media;Tools;Connectors;Cloud computing","","","","","","","","","","","IEEE","IEEE Journals & Magazines"
