"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Automatic Ocular Disease Screening and Monitoring Using a Hybrid Cloud System","F. Yin; B. H. Lee; A. P. Yow; Y. Quan; D. W. K. Wong","NA; NA; NA; NA; NA","2016 IEEE International Conference on Internet of Things (iThings) and IEEE Green Computing and Communications (GreenCom) and IEEE Cyber, Physical and Social Computing (CPSCom) and IEEE Smart Data (SmartData)","","2016","","","263","268","","","","10.1109/iThings-GreenCom-CPSCom-SmartData.2016.68","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7917096","Internet of Things;healthcare;ocular diseases;disease screening;computer aided diagnosis;cloud computing","Diseases;Cloud computing;Retina;Biomedical optical imaging;Optical imaging","cloud computing;diseases;health care;image classification;Internet of Things;medical image processing","hybrid cloud system;healthcare IT systems;advanced image and data analysis techniques;medical devices;cloud-based system;advanced pattern classification algorithms;ophthalmologists;disease detection;ocular disease screening","","","","","","","","","IEEE","IEEE Conferences"
"An e-healthcare sensor network load-balancing scheme using SDN-SFC","T. Li; C. Liao; H. Cho; W. Chien; C. F. Lai; H. Chao","Department of Electrical Engineering, National Dong Hwa University, Hualien, Taiwan; Department of Computer Science and Information Engineering, National Ilan University, Yilan, Taiwan; Department of Computer Science and Information Engineering, National Central University, Taoyuan, Taiwan; Department of Engineering Science, National Cheng Kung University, Tainan, Taiwan; Department of Engineering Science, National Cheng Kung University, Tainan, Taiwan; Department of Electrical Engineering, National Dong Hwa University, Hualien, Taiwan","2017 IEEE 19th International Conference on e-Health Networking, Applications and Services (Healthcom)","","2017","","","1","4","","","","10.1109/HealthCom.2017.8210833","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8210833","Cloud e-Healthcare;Wireless Body Area Network;Software-Defined Networking","Conferences;IEC;IEC Standards;Noise measurement","body area networks;health care;Internet of Things;medical information systems;patient monitoring;software defined networking;telecommunication network planning;telecommunication traffic;telemedicine;wireless sensor networks","health monitoring systems;Internet of Things;e-healthcare sensor network load-balancing scheme;hospital remote-monitoring network planning;SDN-SFC;load-balancing mechanism;network congestion;hospital networks;relaying real-time information;remote medical sensors","","","","","","","","","IEEE","IEEE Conferences"
"An IoT and Wearable Technology Hackathon for Promoting Careers in Computer Science","J. R. Byrne; K. O’Sullivan; K. Sullivan","Centre for Research in IT in Education, School of Education and School Computer Science and Statistics, Trinity College Dublin, University of Dublin, Dublin, Ireland; Centre for Research in IT in Education, School of Education and School Computer Science and Statistics, Trinity College Dublin, University of Dublin, Dublin, Ireland; Centre for Research in IT in Education, School of Education and School Computer Science and Statistics, Trinity College Dublin, University of Dublin, Dublin, Ireland","IEEE Transactions on Education","","2017","60","1","50","58","","","","10.1109/TE.2016.2626252","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7755808","Computer science education;creativity;design thinking;Internet of Things (IoT);problem solving;prototypes;teamwork;wearable technologies","Computer science education;Internet of Things;Prototypes;Teamwork;Wearable computers","computer aided instruction;computer science;educational institutions;human factors;Internet of Things;student experiments;wearable computers","IoT;wearable technology hackathon;computer science;constructivist 21st-century learning model;STEM;Irish preuniversity students;word processing;foundational programming;ICT;students motivation;Internet of Things","","","","","","","","","IEEE","IEEE Journals & Magazines"
"An Integrated Platform for Dynamic Adaptation of Multi-tenant Single Instance SaaS Applications","F. Mohamed; R. Mizouni; M. Abu-Matar; M. Al-Qutayri; J. Whittle","NA; NA; NA; NA; NA","2017 IEEE 5th International Conference on Future Internet of Things and Cloud (FiCloud)","","2017","","","257","264","","","","10.1109/FiCloud.2017.39","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8114491","Cloud;SaaS;Multi-tenant Applications;Dynamic Adaptation;SPL","Software as a service;Databases;Runtime;Adaptation models;Cloud computing;Quality of service","cloud computing;service-oriented architecture;software product lines;Web services","integrated platform;dynamic adaptation;multitenant single instance SaaS applications;Software-as-a-Service;subscription-based services;multiple tenants;SaaS providers;SaaS instance;Software Product Lines;runtime variability management;realistic SaaS application;software variability management;application distinct instance;SPL;Model Driven Architecture;MDA;feature-level variability management","","","","","","","","","IEEE","IEEE Conferences"
"Real-time monitoring of bone fracture recovery by using aware, sensing, smart and active orthopedic devices","M. Dragan; Z. Milan; M. Milorad; V. Nikola; M. Milan","Faculty of Mechanical engineering in Ni&#x0161;, University of Ni&#x0161;, ul. Aleksandra Medvedeva 14, Ni&#x0161;, Serbia.; Faculty of Mechanical engineering in Ni&#x0161;, University of Ni&#x0161;, ul. Aleksandra Medvedeva 14, Ni&#x0161;, Serbia.; Faculty of Medicine, University of Ni&#x0161;, Bulevar dr Zorana Dindi&#x0107;a 81, Ni&#x0161;, Serbia.; Faculty of Mechanical engineering in Ni&#x0161;, University of Ni&#x0161;, ul. Aleksandra Medvedeva 14, Ni&#x0161;, Serbia.; Faculty of Medicine, University of Ni&#x0161;, Bulevar dr Zorana Dindi&#x0107;a 81, Ni&#x0161;, Serbia.","IEEE Internet of Things Journal","","2018","PP","99","1","1","","","","10.1109/JIOT.2018.2819623","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8325280","Internet of Things;Medical treatment;Data analysis.","","","","","","","","","","","","IEEE","IEEE Early Access Articles"
"Leveraging Unlabeled Data for Emotion Recognition With Enhanced Collaborative Semi-Supervised Learning","Z. Zhang; J. Han; J. Deng; X. Xu; F. Ringeval; B. Schuller","Group on Language, Audio & Music, Imperial College London, London, U.K.; ZD.B Chair of Embedded Intelligence for Health Care and Wellbeing, University of Augsburg, Augsburg, Germany; audEERING GmbH, Gilching, Germany; School of Internet of Things, Nanjing University of Posts and Telecommunications, Nanjing, China; Laboratoire d’Informatique de Grenoble, Université Grenoble Alpes, Saint-Martin-d’Hères, France; Group on Language, Audio & Music, Imperial College London, London, U.K.","IEEE Access","","2018","6","","22196","22209","","","","10.1109/ACCESS.2018.2821192","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8345573","Enhanced semi-supervised learning;collaborative learning;audiovisual emotion recognition","Emotion recognition;Data models;Training;Predictive models;Semisupervised learning;Entropy;Collaboration","emotion recognition;interactive systems;learning (artificial intelligence)","realistic human-machine interaction systems;error accumulation;learning iteration;enhanced learning strategy;automatically labeled samples;mislabeled samples;multiple modalities;collaborative SSL;data annotation;automatically labeled data;selected data;remote collaborative;automatic emotion recognition;unlabeled data leveraging;enhanced collaborative semisupervised learning","","","","","","","","","IEEE","IEEE Journals & Magazines"
"Narrowband Transmitters: Ultralow-Power Design","D. Lee; L. G. Salem; P. P. Mercier","NA; NA; NA","IEEE Microwave Magazine","","2015","16","3","130","142","","","","10.1109/MMM.2015.2390111","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7054684","","Frequency shift keying;Power generation;Phase locked loops;Radio transmitters;Power demand;Narrowband;Low power electronics","radio transmitters","narrowband transmitters;ultralow power design;integrated radio design;wearable health care;Internet of Things devices;structural integrity monitors;power budget","","","","","","","","","IEEE","IEEE Journals & Magazines"
"How Beneficial Are Intermediate Layer Data Centers in Mobile Edge Networks?","A. Mehta; W. Tärneberg; C. Klein; J. Tordsson; M. Kihl; E. Elmroth","NA; NA; NA; NA; NA; NA","2016 IEEE 1st International Workshops on Foundations and Applications of Self* Systems (FAS*W)","","2016","","","222","229","","","","10.1109/FAS-W.2016.55","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7789472","Application Placement;Cost Optimization;Infrastructure Resource Placement;Mobile Edge Computing;Fog Computing","Computational modeling;Bandwidth;Network topology;Mobile computing;Mobile communication;Topology;Servers","computer centres;mobile computing","operational cost minimization;telecom network operator;root DC;edge layer DC;IoT;Internet-of-things;health care;future bandwidth-hungry applications;congestion reduction;MEN infrastructure;mobile edge network infrastructure;intermediate layer data centers","","","","","","","","","IEEE","IEEE Conferences"
"Secure-EPCIS: Addressing Security Issues in EPCIS for IoT Applications","S. Woo; J. Ha; J. Byun; K. Kwon; Y. Tolcha; D. Kang; H. M. Nguyen; M. Kim; D. Kim","NA; NA; NA; NA; NA; NA; NA; NA; NA","2017 IEEE World Congress on Services (SERVICES)","","2017","","","40","43","","","","10.1109/SERVICES.2017.16","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8036719","RFID;EPCglobal Network;EPCIS;Access-control","Access control;Servers;Time factors;Permission;Mobile communication","electronic products;Internet of Things;product codes;production engineering computing;radiofrequency identification;security of data;supply chain management","Secure-EPCIS;security issues;Electronic Product Code Information System;Supply Chain Management;data security;SCM;EPCglobal standards;IoT","","","","","","","","","IEEE","IEEE Conferences"
"Augmented reality control home (ARCH) for disabled and elderlies","L. Z. W. Tang; K. S. Ang; M. Amirul; M. B. M. Yusoff; C. K. Tng; M. D. B. M. Alyas; J. G. Lim; P. K. Kyaw; F. Folianto","School of Electronic &amp; Electrical Engineering, Singapore Polytechnic, Singapore; School of Electronic &amp; Electrical Engineering, Singapore Polytechnic, Singapore; School of Electronic &amp; Electrical Engineering, Singapore Polytechnic, Singapore; School of Electronic &amp; Electrical Engineering, Singapore Polytechnic, Singapore; School of Electronic &amp; Electrical Engineering, Singapore Polytechnic, Singapore; School of Electronic &amp; Electrical Engineering, Singapore Polytechnic, Singapore; School of Electronic &amp; Electrical Engineering, Singapore Polytechnic, Singapore; School of Electronic &amp; Electrical Engineering, Singapore Polytechnic, Singapore; Institute for Infocomm Research, A*STAR, Singapore","2015 IEEE Tenth International Conference on Intelligent Sensors, Sensor Networks and Information Processing (ISSNIP)","","2015","","","1","2","","","","10.1109/ISSNIP.2015.7106975","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7106975","Augmented Reality;Internet of Things;voice control;touch control;image tracking;smart home","Sociology;Statistics;Lead;Web servers;Indium tin oxide;Sensors","augmented reality;domestic appliances;geriatrics;handicapped aids;home automation;mobile computing;speech-based user interfaces","augmented reality control home;ARCH;partially disabled people;elderlies;ageing population;Singapore;care givers;domestic helpers;mobile devices;smart home devices;voice control;Web server;home electrical appliance control","","","","","","","","","IEEE","IEEE Conferences"
