"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Automatic Ocular Disease Screening and Monitoring Using a Hybrid Cloud System","F. Yin; B. H. Lee; A. P. Yow; Y. Quan; D. W. K. Wong","NA; NA; NA; NA; NA","2016 IEEE International Conference on Internet of Things (iThings) and IEEE Green Computing and Communications (GreenCom) and IEEE Cyber, Physical and Social Computing (CPSCom) and IEEE Smart Data (SmartData)","","2016","","","263","268","","","","10.1109/iThings-GreenCom-CPSCom-SmartData.2016.68","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7917096","Internet of Things;healthcare;ocular diseases;disease screening;computer aided diagnosis;cloud computing","Diseases;Cloud computing;Retina;Biomedical optical imaging;Optical imaging","cloud computing;diseases;health care;image classification;Internet of Things;medical image processing","hybrid cloud system;healthcare IT systems;advanced image and data analysis techniques;medical devices;cloud-based system;advanced pattern classification algorithms;ophthalmologists;disease detection;ocular disease screening","","","","","","","","","IEEE","IEEE Conferences"
"An e-healthcare sensor network load-balancing scheme using SDN-SFC","T. Li; C. Liao; H. Cho; W. Chien; C. F. Lai; H. Chao","Department of Electrical Engineering, National Dong Hwa University, Hualien, Taiwan; Department of Computer Science and Information Engineering, National Ilan University, Yilan, Taiwan; Department of Computer Science and Information Engineering, National Central University, Taoyuan, Taiwan; Department of Engineering Science, National Cheng Kung University, Tainan, Taiwan; Department of Engineering Science, National Cheng Kung University, Tainan, Taiwan; Department of Electrical Engineering, National Dong Hwa University, Hualien, Taiwan","2017 IEEE 19th International Conference on e-Health Networking, Applications and Services (Healthcom)","","2017","","","1","4","","","","10.1109/HealthCom.2017.8210833","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8210833","Cloud e-Healthcare;Wireless Body Area Network;Software-Defined Networking","Conferences;IEC;IEC Standards;Noise measurement","body area networks;health care;Internet of Things;medical information systems;patient monitoring;software defined networking;telecommunication network planning;telecommunication traffic;telemedicine;wireless sensor networks","health monitoring systems;Internet of Things;e-healthcare sensor network load-balancing scheme;hospital remote-monitoring network planning;SDN-SFC;load-balancing mechanism;network congestion;hospital networks;relaying real-time information;remote medical sensors","","","","","","","","","IEEE","IEEE Conferences"
"Device-Free RF Human Body Fall Detection and Localization in Industrial Workplaces","S. Kianoush; S. Savazzi; F. Vicentini; V. Rampa; M. Giussani","Institute of Electronics, Computer and Telecommunication Engineering of the National Research Council of Italy, Milan, Italy; Institute of Electronics, Computer and Telecommunication Engineering of the National Research Council of Italy, Milan, Italy; Institute of Industrial Technology and Automation of the National Research Council of Italy, Milan, Italy; Institute of Electronics, Computer and Telecommunication Engineering of the National Research Council of Italy, Milan, Italy; Institute of Industrial Technology and Automation of the National Research Council of Italy, Milan, Italy","IEEE Internet of Things Journal","","2017","4","2","351","362","","","","10.1109/JIOT.2016.2624800","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7733160","Device-free fall detection;device-free localization;hidden Markov model;radio vision and sensor fusion","Sensors;Radio frequency;Wireless communication;Monitoring;Wireless sensor networks;Hidden Markov models;Cameras","biomedical telemetry;hidden Markov models;image sensors;machine-to-machine communication;motion measurement;radiotelemetry;RSSI;sensor fusion","device-free human motion detection;field trial measurements;industrial image sensor framework;sensor fusion tool;received signal strength indicator footprint tracking;safety-relevant event detection;hidden Markov model;RF signal propagation;multipath phenomena;human-induced diffraction;machine-to-machine communication functions;ISM band;industry-compliant radio devices;real-time system;human well-being monitoring;human well-being detection;tag-less body localization;device-free RF-based human sensing applications;device-free human motion detection;wireless communications;safe working environment;industrial workplaces;device-free RF human body fall localization;device-free RF human body fall detection;frequency 2.4 GHz","","","","","","","","","IEEE","IEEE Journals & Magazines"
"Leveraging Unlabeled Data for Emotion Recognition With Enhanced Collaborative Semi-Supervised Learning","Z. Zhang; J. Han; J. Deng; X. Xu; F. Ringeval; B. Schuller","Group on Language, Audio & Music, Imperial College London, London, U.K.; ZD.B Chair of Embedded Intelligence for Health Care and Wellbeing, University of Augsburg, Augsburg, Germany; audEERING GmbH, Gilching, Germany; School of Internet of Things, Nanjing University of Posts and Telecommunications, Nanjing, China; Laboratoire d’Informatique de Grenoble, Université Grenoble Alpes, Saint-Martin-d’Hères, France; Group on Language, Audio & Music, Imperial College London, London, U.K.","IEEE Access","","2018","6","","22196","22209","","","","10.1109/ACCESS.2018.2821192","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8345573","Enhanced semi-supervised learning;collaborative learning;audiovisual emotion recognition","Emotion recognition;Data models;Training;Predictive models;Semisupervised learning;Entropy;Collaboration","emotion recognition;interactive systems;learning (artificial intelligence)","realistic human-machine interaction systems;error accumulation;learning iteration;enhanced learning strategy;automatically labeled samples;mislabeled samples;multiple modalities;collaborative SSL;data annotation;automatically labeled data;selected data;remote collaborative;automatic emotion recognition;unlabeled data leveraging;enhanced collaborative semisupervised learning","","","","","","","","","IEEE","IEEE Journals & Magazines"
"Selected health and law issues regarding mobile communications","P. Mandl; P. Pezzei; D. Veit; E. Leitgeb","Institute of Microwave and Photonic Engineering, Graz University of Technology, Inffeldgasse 12 Graz, Austria; Institute of Microwave and Photonic Engineering, Graz University of Technology, Inffeldgasse 12 Graz, Austria; Institute of Microwave and Photonic Engineering, Graz University of Technology, Inffeldgasse 12 Graz, Austria; Institute of Microwave and Photonic Engineering, Graz University of Technology, Inffeldgasse 12 Graz, Austria","2017 25th International Conference on Software, Telecommunications and Computer Networks (SoftCOM)","","2017","","","1","4","","","","10.23919/SOFTCOM.2017.8115581","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8115581","Mobile phone base station measurements;Legal electromagnetic radiation limits;Health electromagnetic radiation limits","Mobile handsets;Antenna measurements;Law;Base stations;Mobile communication;Electromagnetic fields","cellular radio;Internet;Internet of Things;mobile computing;mobile handsets;mobile radio","high data rate connection;RF technology;wireless connections;radiation power pattern;smart home;mobile end devices;wireless communication;mobile communications;law issues;radiation limits;human body;corresponding higher electromagnetic exposure;expected higher bandwidth exposure;mobile devices;calculated legal exposure limits;measured calculated results;legal health limits;poor reception values;handheld mobile end device;mobile phone provider;base station;electromagnetic radiation","","","","","","","","","IEEE","IEEE Conferences"
"Narrowband Transmitters: Ultralow-Power Design","D. Lee; L. G. Salem; P. P. Mercier","NA; NA; NA","IEEE Microwave Magazine","","2015","16","3","130","142","","","","10.1109/MMM.2015.2390111","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7054684","","Frequency shift keying;Power generation;Phase locked loops;Radio transmitters;Power demand;Narrowband;Low power electronics","radio transmitters","narrowband transmitters;ultralow power design;integrated radio design;wearable health care;Internet of Things devices;structural integrity monitors;power budget","","","","","","","","","IEEE","IEEE Journals & Magazines"
"How Beneficial Are Intermediate Layer Data Centers in Mobile Edge Networks?","A. Mehta; W. Tärneberg; C. Klein; J. Tordsson; M. Kihl; E. Elmroth","NA; NA; NA; NA; NA; NA","2016 IEEE 1st International Workshops on Foundations and Applications of Self* Systems (FAS*W)","","2016","","","222","229","","","","10.1109/FAS-W.2016.55","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7789472","Application Placement;Cost Optimization;Infrastructure Resource Placement;Mobile Edge Computing;Fog Computing","Computational modeling;Bandwidth;Network topology;Mobile computing;Mobile communication;Topology;Servers","computer centres;mobile computing","operational cost minimization;telecom network operator;root DC;edge layer DC;IoT;Internet-of-things;health care;future bandwidth-hungry applications;congestion reduction;MEN infrastructure;mobile edge network infrastructure;intermediate layer data centers","","","","","","","","","IEEE","IEEE Conferences"
"Using Smartphones in Healthcare and to Save Lives","G. Kiss","NA","2011 International Conference on Internet of Things and 4th International Conference on Cyber, Physical and Social Computing","","2011","","","614","619","","","","10.1109/iThings/CPSCom.2011.90","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6142189","smartphone;healthcare;save live","Smart phones;Sensors;Global Positioning System;Diseases;Vehicles;Fluids;Home appliances","alarm systems;biomedical communication;Global Positioning System;gyroscopes;health care;patient monitoring;radiocommunication;sensors;smart phones","smartphones;healthcare;jogging;walking;travelling;standing;GPS coordinates;gyroscope;portable sensors;wireless communication;momentary state of health;fluid;calories;bodily position;ambulance;patient condition;GPS positions;life-saving information;driver indisposition;steering wheel;pedals;hazard warning flasher;measured data;pulse counter;sphygmograph;defibrillator","","","","","","","","","IEEE","IEEE Conferences"
"Ultra-Low Power, Secure IoT Platform for Predicting Cardiovascular Diseases","M. Yasin; T. Tekeste; H. Saleh; B. Mohammad; O. Sinanoglu; M. Ismail","Department of Electrical and Computer Engineering, Tandon School of Engineering, New York University, New York City, NY, USA; Khalifa Semiconductor Research Center, Khalifa University, Abu Dhabi, UAE; Khalifa Semiconductor Research Center, Khalifa University, Abu Dhabi, UAE; Khalifa Semiconductor Research Center, Khalifa University, Abu Dhabi, UAE; Engineering Division, New York University Abu Dhabi, Abu Dhabi, UAE; Khalifa Semiconductor Research Center, Khalifa University, Abu Dhabi, UAE","IEEE Transactions on Circuits and Systems I: Regular Papers","","2017","64","9","2624","2637","","","","10.1109/TCSI.2017.2694968","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7927419","ECG;biomedical classifier;ventricular arrythmia;Internet of Things;hardware security;design-for-trust","Electrocardiography;Security;Hardware;Reverse engineering;System-on-chip;Integrated circuit modeling","application specific integrated circuits;cardiovascular system;diseases;electrocardiography;Internet of Things;medical signal processing;power aware computing;power consumption;telecommunication channels;telecommunication security","cardiovascular diseases;Internet-of-Things;health-care sector;noninvasive patient monitoring;IoT-enabled medical devices;low-power ECG-processors;ultralow power;secure IoT sensing-preprocessing platform;ventricular arrhythmia;ECG signals;application specific integrated circuits;low power enhanced technology;chip-specific ECG;communication channel;thwarting hardware security;on-chip resources;multilayered security infrastructure;design-for-trust solution","","","","","","","","","IEEE","IEEE Journals & Magazines"
"Health analysis of bicycle rider and security of bicycle using IoT","S. Nath; S. Sinha; L. M. Gladence; Y. BevishJinila; V. Rajalakshmi","School of Computing, Sathyabama University; School of Computing, Sathyabama University; School of Computing, Sathyabama University; School of Computing, Sathyabama University; School of Computing, Sathyabama University","2017 International Conference on Communication and Signal Processing (ICCSP)","","2017","","","0802","0806","","","","10.1109/ICCSP.2017.8286475","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8286475","Health analysis;Bicycling;Arduino;Internet of Things","Bicycles;Bluetooth;Switches;Magnetic flux;Accelerometers;Heart rate;Magnetic separation","accelerometers;bicycles;Bluetooth;Internet of Things;smart phones","health analysis;bicycle rider;IoT;fitness tracking;bicycle security;Internet of Things;antitheft technologies;keyless authentication;Bluetooth;accelerometer","","","","","","","","","IEEE","IEEE Conferences"
