"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Automatic Ocular Disease Screening and Monitoring Using a Hybrid Cloud System","F. Yin; B. H. Lee; A. P. Yow; Y. Quan; D. W. K. Wong","NA; NA; NA; NA; NA","2016 IEEE International Conference on Internet of Things (iThings) and IEEE Green Computing and Communications (GreenCom) and IEEE Cyber, Physical and Social Computing (CPSCom) and IEEE Smart Data (SmartData)","","2016","","","263","268","","","","10.1109/iThings-GreenCom-CPSCom-SmartData.2016.68","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7917096","Internet of Things;healthcare;ocular diseases;disease screening;computer aided diagnosis;cloud computing","Diseases;Cloud computing;Retina;Biomedical optical imaging;Optical imaging","cloud computing;diseases;health care;image classification;Internet of Things;medical image processing","hybrid cloud system;healthcare IT systems;advanced image and data analysis techniques;medical devices;cloud-based system;advanced pattern classification algorithms;ophthalmologists;disease detection;ocular disease screening","","","","","","","","","IEEE","IEEE Conferences"
"An e-healthcare sensor network load-balancing scheme using SDN-SFC","T. Li; C. Liao; H. Cho; W. Chien; C. F. Lai; H. Chao","Department of Electrical Engineering, National Dong Hwa University, Hualien, Taiwan; Department of Computer Science and Information Engineering, National Ilan University, Yilan, Taiwan; Department of Computer Science and Information Engineering, National Central University, Taoyuan, Taiwan; Department of Engineering Science, National Cheng Kung University, Tainan, Taiwan; Department of Engineering Science, National Cheng Kung University, Tainan, Taiwan; Department of Electrical Engineering, National Dong Hwa University, Hualien, Taiwan","2017 IEEE 19th International Conference on e-Health Networking, Applications and Services (Healthcom)","","2017","","","1","4","","","","10.1109/HealthCom.2017.8210833","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8210833","Cloud e-Healthcare;Wireless Body Area Network;Software-Defined Networking","Conferences;IEC;IEC Standards;Noise measurement","body area networks;health care;Internet of Things;medical information systems;patient monitoring;software defined networking;telecommunication network planning;telecommunication traffic;telemedicine;wireless sensor networks","health monitoring systems;Internet of Things;e-healthcare sensor network load-balancing scheme;hospital remote-monitoring network planning;SDN-SFC;load-balancing mechanism;network congestion;hospital networks;relaying real-time information;remote medical sensors","","","","","","","","","IEEE","IEEE Conferences"
"Towards smart ehealth in the ultra large-scale Internet of Things era","F. M. Al-Turjman","Computer Engineering Department, Middle East Technical University, Northern Cyprus Campus, 99738 Kalkanli, G&#x00FC;zelyurt, Mersin 10, Turkey","2016 23rd Iranian Conference on Biomedical Engineering and 2016 1st International Iranian Conference on Biomedical Engineering (ICBME)","","2016","","","102","105","","","","10.1109/ICBME.2016.7890938","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7890938","Facial fever;Facial disorders;Image segmentation;Internet of Things (IoT)","","biomedical optical imaging;cameras;face recognition;image segmentation;Internet of Things;medical disorders;medical image processing;skin;wireless LAN","smart ehealth;Internet-of-things;real-time facial disorders detection;public cameras;smart-city streets;infected faces;free WiFi services;image processing techniques;facial skin disorders;digital photographs;abnormal facial region detection;face region segmentation;IoT paradigm","","","","","","","","","IEEE","IEEE Conferences"
"Real-time monitoring of bone fracture recovery by using aware, sensing, smart and active orthopedic devices","M. Dragan; Z. Milan; M. Milorad; V. Nikola; M. Milan","Faculty of Mechanical engineering in Ni&#x0161;, University of Ni&#x0161;, ul. Aleksandra Medvedeva 14, Ni&#x0161;, Serbia.; Faculty of Mechanical engineering in Ni&#x0161;, University of Ni&#x0161;, ul. Aleksandra Medvedeva 14, Ni&#x0161;, Serbia.; Faculty of Medicine, University of Ni&#x0161;, Bulevar dr Zorana Dindi&#x0107;a 81, Ni&#x0161;, Serbia.; Faculty of Mechanical engineering in Ni&#x0161;, University of Ni&#x0161;, ul. Aleksandra Medvedeva 14, Ni&#x0161;, Serbia.; Faculty of Medicine, University of Ni&#x0161;, Bulevar dr Zorana Dindi&#x0107;a 81, Ni&#x0161;, Serbia.","IEEE Internet of Things Journal","","2018","PP","99","1","1","","","","10.1109/JIOT.2018.2819623","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8325280","Internet of Things;Medical treatment;Data analysis.","","","","","","","","","","","","IEEE","IEEE Early Access Articles"
"CBCT image noise reduction and enhancement using Bi-Histogram method with bent activation function","A. Thakur; M. Malik; N. Phutela; P. K. Khare; P. Mor","Dept. of Electronics and Communication Engineering, Amity University, Uttar Pradesh Noida (U.P)-201303, India; Dept. of Electronics and Communication Engineering, Amity University, Uttar Pradesh Noida (U.P)-201303, India; Dept. of Electronics and Communication Engineering, Amity University, Uttar Pradesh Noida (U.P)-201303, India; Electronic Department, RDVV, Jabalpur; Electronic Department, RDVV, Jabalpur","2016 International Conference on Information Technology (InCITe) - The Next Generation IT Summit on the Theme - Internet of Things: Connect your Worlds","","2016","","","242","246","","","","10.1109/INCITE.2016.7857624","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7857624","Bi-Histogram equalization;activation function;adaptive median filter;contrast enhancement","Histograms;Brightness;Adaptive filters;Adaptive equalizers;Mathematical model;Noise reduction;Filtering algorithms","computerised tomography;dentistry;image denoising;image enhancement;medical image processing","peak value ratio-in-term-of-signal versus noise;PSNR;SSIM;structure-in-term-of-similarity index;adaptive median filter;bi-histogram equalization;visual impression;cone beam computed tomography;bent activation function;CBCT image noise enhancement;CBCT image noise reduction","","","","","","","","","IEEE","IEEE Conferences"
"Ultra-Low Power, Secure IoT Platform for Predicting Cardiovascular Diseases","M. Yasin; T. Tekeste; H. Saleh; B. Mohammad; O. Sinanoglu; M. Ismail","Department of Electrical and Computer Engineering, Tandon School of Engineering, New York University, New York City, NY, USA; Khalifa Semiconductor Research Center, Khalifa University, Abu Dhabi, UAE; Khalifa Semiconductor Research Center, Khalifa University, Abu Dhabi, UAE; Khalifa Semiconductor Research Center, Khalifa University, Abu Dhabi, UAE; Engineering Division, New York University Abu Dhabi, Abu Dhabi, UAE; Khalifa Semiconductor Research Center, Khalifa University, Abu Dhabi, UAE","IEEE Transactions on Circuits and Systems I: Regular Papers","","2017","64","9","2624","2637","","","","10.1109/TCSI.2017.2694968","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7927419","ECG;biomedical classifier;ventricular arrythmia;Internet of Things;hardware security;design-for-trust","Electrocardiography;Security;Hardware;Reverse engineering;System-on-chip;Integrated circuit modeling","application specific integrated circuits;cardiovascular system;diseases;electrocardiography;Internet of Things;medical signal processing;power aware computing;power consumption;telecommunication channels;telecommunication security","cardiovascular diseases;Internet-of-Things;health-care sector;noninvasive patient monitoring;IoT-enabled medical devices;low-power ECG-processors;ultralow power;secure IoT sensing-preprocessing platform;ventricular arrhythmia;ECG signals;application specific integrated circuits;low power enhanced technology;chip-specific ECG;communication channel;thwarting hardware security;on-chip resources;multilayered security infrastructure;design-for-trust solution","","","","","","","","","IEEE","IEEE Journals & Magazines"
"Applying the Internet of Things (IoT) to biomedical development for surgical research and healthcare professional training","I. R. de la Borbolla; M. Chicoskie; T. Tinnell","Biomedical Research and Development Department, Mibio | Medical, LLC, Memphis, Tennessee, USA; Biomedical Research and Development Department, Mibio | Medical, LLC, Memphis, Tennessee, USA; Healthcare and Public Sector Technical Leader, IBM Corporation, Nashville, Tennessee, USA","2017 IEEE Technology & Engineering Management Conference (TEMSCON)","","2017","","","335","341","","","","10.1109/TEMSCON.2017.7998399","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7998399","Biomedical;Surgical Training;Femoral Surgery;Bicortical;Internet of Things;Model-Driven Development;Software Engineering;Hardware Engineering;Systems Engineering;Cognitive Computing","Surgery;Hardware;Training;Software;Fixtures;Research and development management;Conferences","biological tissues;biomedical education;health care;Internet of Things;learning (artificial intelligence);medical computing;surgery","Internet-of-Things;biomedical development;surgery;healthcare professional training;hard tissues;soft tissues;medical instruments;program insurance;bicortical drilling conditions","","","","","","","","","IEEE","IEEE Conferences"
"Health capability: The representation of IoT in health domain among Jakartans","T. Prayoga; J. Abraham","Psychology Department, Bina Nusantara University, Jakarta, Indonesia; Psychology Department, Bina Nusantara University, Jakarta, Indonesia","2016 International Conference on Advanced Computer Science and Information Systems (ICACSIS)","","2016","","","103","110","","","","10.1109/ICACSIS.2016.7872789","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7872789","Internet of Things;Health Capability;Representation;Psychotechnology","","Internet of Things;medical information systems;socio-economic effects","health capability;IoT;health domain;Jakartans;social functions;health related purposes;health capabilities;Greater Jakarta;social representation;Voyant tool;words cirrus;practical agency freedom limitations;individual dispositions;economic status","","","","","","","","","IEEE","IEEE Conferences"
"A polarization reconfigurable textile patch antenna for wearable IoT applications","H. Lee; J. Choi","Department of Electronics and Computer Engineering, Hanyang University, Seoul, Republic of Korea; Department of Electronics and Computer Engineering, Hanyang University, Seoul, Republic of Korea","2017 International Symposium on Antennas and Propagation (ISAP)","","2017","","","1","2","","","","10.1109/ISANP.2017.8228882","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8228882","reconfigurable polarization;body-mimicking phantom;textile patch antenna;internet of things (IoT)","Textiles;Patch antennas;PIN photodiodes;Phantoms;Switches;Gain","antenna radiation patterns;electromagnetic wave polarisation;fabrics;Internet of Things;microstrip antennas;phantoms;p-i-n diodes;UHF antennas;wearable antennas","polarization reconfigurable textile patch antenna;wearable IoT applications;wearable internet-of-things application;industrial-scientific-and-medical band;ISM band;wearable garments;fabric materials;body-mimicking phantom;frequency 2.4 GHz","","","","","","","","","IEEE","IEEE Conferences"
"The application of IOT in medical system","Dongxin Lu; Tao Liu","Software College, Nanchang University, China; Information Engineering School, Nanchang University, China","2011 IEEE International Symposium on IT in Medicine and Education","","2011","1","","272","275","","","","10.1109/ITiME.2011.6130831","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6130831","RFID;IOT;ECG monitoring;telemedicine;clinical care","Telemedicine;Medical diagnostic imaging;Internet;Hospitals;Radiofrequency identification","Internet;telemedicine","IOT function;medical system;Internet of things;telemedicine","","","","","","","","","IEEE","IEEE Conferences"
