"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Automatic Ocular Disease Screening and Monitoring Using a Hybrid Cloud System","F. Yin; B. H. Lee; A. P. Yow; Y. Quan; D. W. K. Wong","NA; NA; NA; NA; NA","2016 IEEE International Conference on Internet of Things (iThings) and IEEE Green Computing and Communications (GreenCom) and IEEE Cyber, Physical and Social Computing (CPSCom) and IEEE Smart Data (SmartData)","","2016","","","263","268","","","","10.1109/iThings-GreenCom-CPSCom-SmartData.2016.68","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7917096","Internet of Things;healthcare;ocular diseases;disease screening;computer aided diagnosis;cloud computing","Diseases;Cloud computing;Retina;Biomedical optical imaging;Optical imaging","cloud computing;diseases;health care;image classification;Internet of Things;medical image processing","hybrid cloud system;healthcare IT systems;advanced image and data analysis techniques;medical devices;cloud-based system;advanced pattern classification algorithms;ophthalmologists;disease detection;ocular disease screening","","","","","","","","","IEEE","IEEE Conferences"
"An e-healthcare sensor network load-balancing scheme using SDN-SFC","T. Li; C. Liao; H. Cho; W. Chien; C. F. Lai; H. Chao","Department of Electrical Engineering, National Dong Hwa University, Hualien, Taiwan; Department of Computer Science and Information Engineering, National Ilan University, Yilan, Taiwan; Department of Computer Science and Information Engineering, National Central University, Taoyuan, Taiwan; Department of Engineering Science, National Cheng Kung University, Tainan, Taiwan; Department of Engineering Science, National Cheng Kung University, Tainan, Taiwan; Department of Electrical Engineering, National Dong Hwa University, Hualien, Taiwan","2017 IEEE 19th International Conference on e-Health Networking, Applications and Services (Healthcom)","","2017","","","1","4","","","","10.1109/HealthCom.2017.8210833","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8210833","Cloud e-Healthcare;Wireless Body Area Network;Software-Defined Networking","Conferences;IEC;IEC Standards;Noise measurement","body area networks;health care;Internet of Things;medical information systems;patient monitoring;software defined networking;telecommunication network planning;telecommunication traffic;telemedicine;wireless sensor networks","health monitoring systems;Internet of Things;e-healthcare sensor network load-balancing scheme;hospital remote-monitoring network planning;SDN-SFC;load-balancing mechanism;network congestion;hospital networks;relaying real-time information;remote medical sensors","","","","","","","","","IEEE","IEEE Conferences"
"Real-time monitoring of bone fracture recovery by using aware, sensing, smart and active orthopedic devices","M. Dragan; Z. Milan; M. Milorad; V. Nikola; M. Milan","Faculty of Mechanical engineering in Ni&#x0161;, University of Ni&#x0161;, ul. Aleksandra Medvedeva 14, Ni&#x0161;, Serbia.; Faculty of Mechanical engineering in Ni&#x0161;, University of Ni&#x0161;, ul. Aleksandra Medvedeva 14, Ni&#x0161;, Serbia.; Faculty of Medicine, University of Ni&#x0161;, Bulevar dr Zorana Dindi&#x0107;a 81, Ni&#x0161;, Serbia.; Faculty of Mechanical engineering in Ni&#x0161;, University of Ni&#x0161;, ul. Aleksandra Medvedeva 14, Ni&#x0161;, Serbia.; Faculty of Medicine, University of Ni&#x0161;, Bulevar dr Zorana Dindi&#x0107;a 81, Ni&#x0161;, Serbia.","IEEE Internet of Things Journal","","2018","PP","99","1","1","","","","10.1109/JIOT.2018.2819623","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8325280","Internet of Things;Medical treatment;Data analysis.","","","","","","","","","","","","IEEE","IEEE Early Access Articles"
"Secure-EPCIS: Addressing Security Issues in EPCIS for IoT Applications","S. Woo; J. Ha; J. Byun; K. Kwon; Y. Tolcha; D. Kang; H. M. Nguyen; M. Kim; D. Kim","NA; NA; NA; NA; NA; NA; NA; NA; NA","2017 IEEE World Congress on Services (SERVICES)","","2017","","","40","43","","","","10.1109/SERVICES.2017.16","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8036719","RFID;EPCglobal Network;EPCIS;Access-control","Access control;Servers;Time factors;Permission;Mobile communication","electronic products;Internet of Things;product codes;production engineering computing;radiofrequency identification;security of data;supply chain management","Secure-EPCIS;security issues;Electronic Product Code Information System;Supply Chain Management;data security;SCM;EPCglobal standards;IoT","","","","","","","","","IEEE","IEEE Conferences"
"Using Smartphones in Healthcare and to Save Lives","G. Kiss","NA","2011 International Conference on Internet of Things and 4th International Conference on Cyber, Physical and Social Computing","","2011","","","614","619","","","","10.1109/iThings/CPSCom.2011.90","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6142189","smartphone;healthcare;save live","Smart phones;Sensors;Global Positioning System;Diseases;Vehicles;Fluids;Home appliances","alarm systems;biomedical communication;Global Positioning System;gyroscopes;health care;patient monitoring;radiocommunication;sensors;smart phones","smartphones;healthcare;jogging;walking;travelling;standing;GPS coordinates;gyroscope;portable sensors;wireless communication;momentary state of health;fluid;calories;bodily position;ambulance;patient condition;GPS positions;life-saving information;driver indisposition;steering wheel;pedals;hazard warning flasher;measured data;pulse counter;sphygmograph;defibrillator","","","","","","","","","IEEE","IEEE Conferences"
"Survey of platforms for massive IoT","H. Hejazi; H. Rajab; T. Cinkler; L. Lengyel","Department of Automation and Applied Informatics, Budapest University of Technology and Economics, Budapest, Hungary; Department of Telecommunications and Media Informatics, Budapest University of Technology and Economics, Budapest, Hungary; Department of Telecommunications and Media Informatics, Budapest University of Technology and Economics, Budapest, Hungary; Department of Automation and Applied Informatics, Budapest University of Technology and Economics, Budapest, Hungary","2018 IEEE International Conference on Future IoT Technologies (Future IoT)","","2018","","","1","8","","","","10.1109/FIOT.2018.8325598","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8325598","Internet;IoT;Massive IoT;Platforms;Protocols;M2M;LWM2M;CoAP;NB-IoT;LoRa;LPWAN","Protocols;Sensors;Cloud computing;Machine-to-machine communications;Object recognition;Internet of Things","Internet of Things;ubiquitous computing","everyday objects;smart cities;smart agriculture;smart healthcare;smart manufacturing;IoT building elements;state-of-the-art IoT platforms;prominent technology;backend systems;Internet of things","","","","","","","","","IEEE","IEEE Conferences"
"Applying the Internet of Things (IoT) to biomedical development for surgical research and healthcare professional training","I. R. de la Borbolla; M. Chicoskie; T. Tinnell","Biomedical Research and Development Department, Mibio | Medical, LLC, Memphis, Tennessee, USA; Biomedical Research and Development Department, Mibio | Medical, LLC, Memphis, Tennessee, USA; Healthcare and Public Sector Technical Leader, IBM Corporation, Nashville, Tennessee, USA","2017 IEEE Technology & Engineering Management Conference (TEMSCON)","","2017","","","335","341","","","","10.1109/TEMSCON.2017.7998399","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7998399","Biomedical;Surgical Training;Femoral Surgery;Bicortical;Internet of Things;Model-Driven Development;Software Engineering;Hardware Engineering;Systems Engineering;Cognitive Computing","Surgery;Hardware;Training;Software;Fixtures;Research and development management;Conferences","biological tissues;biomedical education;health care;Internet of Things;learning (artificial intelligence);medical computing;surgery","Internet-of-Things;biomedical development;surgery;healthcare professional training;hard tissues;soft tissues;medical instruments;program insurance;bicortical drilling conditions","","","","","","","","","IEEE","IEEE Conferences"
"Towards hierarchical cooperative analytics architecture in law enforcement agencies","L. Alawneh; M. Said; Z. Al-Sharif","Department of Software Engineering, Jordan University of Science &amp; Technology, Irbid, Jordan; GE Healthcare, Wisconsin, USA; Department of Software Engineering, Jordan University of Science &amp; Technology, Irbid, Jordan","2017 8th International Conference on Information, Intelligence, Systems & Applications (IISA)","","2017","","","1","6","","","","10.1109/IISA.2017.8316400","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8316400","Big Data;Intelligent Agents;Ontologies;Metamodels;Data Mining","Big Data;Data mining;Real-time systems;Organizations;Intelligent agents;Databases;Law enforcement","Big Data;criminal law;data analysis;data mining;Internet;Internet of Things;national security;ontologies (artificial intelligence);security of data;social networking (online);terrorism","information technology;social networks;trustful activities;suspicious activities;illegal activities;crimes;hierarchical cooperative analytics architecture;Big Data Analytics;law enforcement agencies;crime investigation;safety;national security;security;terror attacks","","","","","","","","","IEEE","IEEE Conferences"
"Voice Pathology Detection Using Deep Learning on Mobile Healthcare Framework","M. Alhussein; G. Muhammad","Department of Computer Engineering, College of Computer and Information Sciences, King Saud University, Riyadh, Saudi Arabia; Department of Computer Engineering, College of Computer and Information Sciences, King Saud University, Riyadh, Saudi Arabia","IEEE Access","","2018","6","","41034","41041","","","","10.1109/ACCESS.2018.2856238","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8411437","Mobile multimedia healthcare;voice pathology detection;deep learning;Saarbrucken voice database","Pathology;Medical services;Databases;Cloud computing;Machine learning;Feature extraction;Servers","","","","","","","","","","","IEEE","IEEE Journals & Magazines"
"Development of an automatic urine monitoring device using cross-selectivity sensing principle","B. Ioller; N. Miki","Department of Mechanical Engineering, Keio University, 3-4-1 Hiyoshi, Yokohama, Kanagawa 223-8522, Japan; Department of Mechanical Engineering, Keio University, 3-4-1 Hiyoshi, Yokohama, Kanagawa 223-8522, Japan","2018 International Conference on Electronics Packaging and iMAPS All Asia Conference (ICEP-IAAC)","","2018","","","324","327","","","","10.23919/ICEP.2018.8374315","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8374315","Urine Monitoring;Capillarity;Cross-sensing;IoT;ESP32","Sensors;Heating systems;Monitoring;Medical services;Conductivity;Fabrication;Image color analysis","capillarity;health care;Internet of Things;patient care;patient diagnosis;patient monitoring","healthcare application;automatic urine monitoring device;cross-selectivity sensing principle;IoT application;home care;healthcare service;urine remote analysis;bio-marker;capillarity effect;urine simulation;heatwave prevention;Japan;ESP32 module","","","","","","","","","IEEE","IEEE Conferences"
