Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Smart Cities at the Forefront of the Future Internet","The Future Internet","","","","10.1007/978-3-642-20898-0_32","José M. Hernández-MuñozJesús Bernat VercherLuis MuñozJosé A. GalacheMirko PresserLuis A. Hernández GómezJan Pettersson","2011","http://link.springer.com/chapter/10.1007/978-3-642-20898-0_32","Chapter"
"Internet of Things Applied in the Home-Based Caring System for the Aged","Advances in Electronic Commerce, Web Application and Communication","","","","10.1007/978-3-642-28655-1_74","Qingying ZhangZhimin ChenPeng Zhang","2012","http://link.springer.com/chapter/10.1007/978-3-642-28655-1_74","Chapter"
"All In: Targeting Trustworthiness for Special Needs User Groups in the Internet of Things","Trust and Trustworthy Computing","","","","10.1007/978-3-642-38908-5_17","Marc BuschChristina HochleitnerMario LorenzTrenton SchulzManfred TscheligiEckhart Wittstock","2013","http://link.springer.com/chapter/10.1007/978-3-642-38908-5_17","Chapter"
"A Cognitive Management Framework for Smart Objects and Applications in the Internet of Things","Mobile Networks and Management","","","","10.1007/978-3-642-37935-2_15","Dimitris KelaidonisAndrey SomovGeorge PouliosVassilis FoteinosVera StavroulakiPanagiotis VlacheasPanagiotis Demestichas","2013","http://link.springer.com/chapter/10.1007/978-3-642-37935-2_15","Chapter"
"A Cognitive Management Framework for Empowering the Internet of Things","The Future Internet","","","","10.1007/978-3-642-38082-2_16","Vassilis FoteinosDimitris KelaidonisGeorge PouliosVera StavroulakiPanagiotis VlacheasPanagiotis DemestichasRaffaele GiaffredaAbdur Rahim BiswasStephane MenoretGerard NguengangMatti EtelaperaNechifor Septimiu-CosminMarc RoelandsFilippo VisintainerKlaus Moessner","2013","http://link.springer.com/chapter/10.1007/978-3-642-38082-2_16","Chapter"
"Addressing the Needs of an Aging Population: An Experiment for Monitoring Behaviour in a Domestic Environment","Computer Safety, Reliability, and Security","","","","10.1007/978-3-642-33675-1_41","Marte E. B. SkjønsfjellAslak R. NormannDag SjongAmund Skavhaug","2012","http://link.springer.com/chapter/10.1007/978-3-642-33675-1_41","Chapter"
"Contributing to the Internet of Things","Technological Innovation for the Internet of Things","","","","10.1007/978-3-642-37291-9_1","Luis M. Camarinha-MatosJoão GoesLuís GomesJoão Martins","2013","http://link.springer.com/chapter/10.1007/978-3-642-37291-9_1","Chapter"
"Making Use of Superfast Connectivity","Fourth Generation Mobile Communication","","","","10.1007/978-3-319-02210-9_9","Peter CurwenJason Whalley","2013","http://link.springer.com/chapter/10.1007/978-3-319-02210-9_9","Chapter"
"Increasing Trust Perceptions in the Internet of Things","Human Aspects of Information Security, Privacy, and Trust","","","","10.1007/978-3-642-39345-7_18","Trenton SchulzIngvar Tjøstheim","2013","http://link.springer.com/chapter/10.1007/978-3-642-39345-7_18","Chapter"
"PhonAge: Adapted SmartPhone for Aging Population","Inclusive Society: Health and Wellbeing in the Community, and Care at Home","","","","10.1007/978-3-642-39470-6_4","Bessam AbdulrazakYasir MalikFarah ArabSusan Reid","2013","http://link.springer.com/chapter/10.1007/978-3-642-39470-6_4","Chapter"
