"Posters","JNHA - The Journal of Nutrition, Health and Aging","","13","1","10.1007/s12603-009-0095-9","","2009","http://link.springer.com/article/10.1007/s12603-009-0095-9","Article"
"Oral communications","JNHA - The Journal of Nutrition, Health and Aging","","13","1","10.1007/s12603-009-0093-y","","2009","http://link.springer.com/article/10.1007/s12603-009-0093-y","Article"
"Big Data Processing using Internet of Software Defined Things in Smart Cities","International Journal of Parallel Programming","","","","10.1007/s10766-018-0573-y","Murad KhanJaved IqbalMuhammad TalhaMuhammad ArshadMuhammad DiyanKijun Han","2018","http://link.springer.com/article/10.1007/s10766-018-0573-y","Article"
"A study on medical Internet of Things and Big Data in personalized healthcare system","Health Information Science and Systems","","6","1","10.1007/s13755-018-0049-x","V. JagadeeswariV. SubramaniyaswamyR. LogeshV. Vijayakumar","2018","http://link.springer.com/article/10.1007/s13755-018-0049-x","Article"
"Multimedia-oriented action recognition in Smart City-based IoT using multilayer perceptron","Multimedia Tools and Applications","","","","10.1007/s11042-018-6919-z","Mohammed G. H. AL ZamilSamer SamarahMajdi RawashdehAli KarimeM. Shamim Hossain","2019","http://link.springer.com/article/10.1007/s11042-018-6919-z","Article"
"Using Information Centric Networking in Internet of Things: A Survey","Wireless Personal Communications","","105","1","10.1007/s11277-018-6104-8","Dorra MarsSonia Mettali GammarAbdelkader LahmadiLeila Azouz Saidane","2019","http://link.springer.com/article/10.1007/s11277-018-6104-8","Article"
"Ageing in place and the internet of things – how smart home technologies, the built environment and caregiving intersect","Visualization in Engineering","","6","1","10.1186/s40327-018-0066-5","Phillippa Carnemolla","2018","http://link.springer.com/article/10.1186/s40327-018-0066-5","Article"
"The application of internet of things in healthcare: a systematic literature review and classification","Universal Access in the Information Society","","","","10.1007/s10209-018-0618-4","Hossein AhmadiGoli ArjiLeila ShahmoradiReza SafdariMehrbakhsh NilashiMojtaba Alizadeh","2018","http://link.springer.com/article/10.1007/s10209-018-0618-4","Article"
"Abstracts of the 14th International Congress of the European Geriatric Medicine Society","European Geriatric Medicine","","9","1","10.1007/s41999-018-0097-4","","2018","http://link.springer.com/article/10.1007/s41999-018-0097-4","Article"
"A unified framework for data integrity protection in people-centric smart cities","Multimedia Tools and Applications","","","","10.1007/s11042-019-7182-7","May AltulyanLina YaoSalil S. KanhereXianzhi WangChaoran Huang","2019","http://link.springer.com/article/10.1007/s11042-019-7182-7","Article"
"‘Social, innovative and smart cities are happy and resilient’: insights from the WHO EURO 2014 International Healthy Cities Conference","International Journal of Health Geographics","","14","1","10.1186/1476-072X-14-3","Maged N Kamel BoulosAgis D TsourosArto Holopainen","2015","http://link.springer.com/article/10.1186/1476-072X-14-3","Article"
"Collaborative handshaking approaches between internet of computing and internet of things towards a smart world: a review from 2009–2017","Telecommunication Systems","","70","4","10.1007/s11235-018-0481-x","Le Hoang SonSudan JhaRaghvendra KumarJyotir Moy ChatterjeeManju Khari","2019","http://link.springer.com/article/10.1007/s11235-018-0481-x","Article"
"Impact of 5G Technologies on Smart City Implementation","Wireless Personal Communications","","100","1","10.1007/s11277-018-5618-4","Sriganesh K. RaoRamjee Prasad","2018","http://link.springer.com/article/10.1007/s11277-018-5618-4","Article"
"A Survey of IoT Key Enabling and Future Technologies: 5G, Mobile IoT, Sematic Web and Applications","Wireless Personal Communications","","97","2","10.1007/s11277-017-4647-8","Sotirios K. GoudosPanagiotis I. DallasStella ChatziefthymiouSofoklis Kyriazakos","2017","http://link.springer.com/article/10.1007/s11277-017-4647-8","Article"
"IoT Technology, Applications and Challenges: A Contemporary Survey","Wireless Personal Communications","","","","10.1007/s11277-019-06407-w","S. BalajiKaran NathaniR. Santhakumar","2019","http://link.springer.com/article/10.1007/s11277-019-06407-w","Article"
