Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Ambient Assisted Living Tools for a Sustanaible Aging Society","Resource Management in Mobile Computing Environments","","","","10.1007/978-3-319-06704-9_9","Andrés L. BledaRafael MaestreAntonio J. JaraAntonio Gomez Skarmeta","2014","http://link.springer.com/chapter/10.1007/978-3-319-06704-9_9","Chapter"
"RITA Project: An Ambient Assisted Living Solution for Independent and Safely Living of Aging Population","Ambient Assisted Living","","","","10.1007/978-3-319-01119-6_30","Raffaele EspositoManuele BonaccorsiDario EspositoMassimo FilippiErika RoviniMichela AquilanoFilippo CavalloPaolo Dario","2014","http://link.springer.com/chapter/10.1007/978-3-319-01119-6_30","Chapter"
"Contributions of ambient assisted living for health and quality of life in the elderly and care services - a qualitative analysis from the experts’ perspective of care service professionals","BMC Geriatrics","","14","1","10.1186/1471-2318-14-112","Christian SiegelAndreas HochgattererThomas Ernst Dorner","2014","http://link.springer.com/article/10.1186/1471-2318-14-112","Article"
"Ambient Assisted Living Systems in Real-Life Situations: Experiences from the SOPRANO Project","Technologies for Active Aging","","","","10.1007/978-1-4419-8348-0_8","Ilse BierhoffSonja MüllerSandra Schoenrade-SprollSarah DelaneyPaula ByrneVesna DolničarBabis MagoutasYiannis VerginadisElena AvatangelouClaire Huijnen","2013","http://link.springer.com/chapter/10.1007/978-1-4419-8348-0_8","Chapter"
"Ambient Assisted Living Environment Towards Internet of Things Using Multifarious Sensors Integrated with XBee Platform","Internet of Things","","","","10.1007/978-3-319-04223-7_9","N. K. SuryadevaraS. KellyS. C. Mukhopadhyay","2014","http://link.springer.com/chapter/10.1007/978-3-319-04223-7_9","Chapter"
"Flexible context aware interface for ambient assisted living","Human-centric Computing and Information Sciences","","4","1","10.1186/2192-1962-4-1","James McNaullJuan Carlos AugustoMaurice MulvennaPaul McCullagh","2014","http://link.springer.com/article/10.1186/2192-1962-4-1","Article"
"An Integrated Smart System for Ambient-Assisted Living","Internet of Things, Smart Spaces, and Next Generation Networking","","","","10.1007/978-3-642-40316-3_12","Thato E. FokoNomusa DlodloLitsietsi Montsi","2013","http://link.springer.com/chapter/10.1007/978-3-642-40316-3_12","Chapter"
"Bootstrapping Activity Modeling for Ambient Assisted Living","Smart Health","","","","10.1007/978-3-642-39844-5_12","Jie WanMichael J. O’GradyGregory M. P. O’Hare","2013","http://link.springer.com/chapter/10.1007/978-3-642-39844-5_12","Chapter"
"Open Innovation in Health Service Value Networks: A Methodology for the Innovation of Ambient Assisted Living Platforms and Services","Business Information Systems Workshops","","","","10.1007/978-3-642-34228-8_3","Davor MeersmanPieter De Leenheer","2012","http://link.springer.com/chapter/10.1007/978-3-642-34228-8_3","Chapter"
"Challenges of User-Centred Research in the Development of Ambient Assisted Living Systems","Impact Analysis of Solutions for Chronic Disease Prevention and Management","","","","10.1007/978-3-642-30779-9_1","Ryan WoolrychAndrew Sixsmith","2012","http://link.springer.com/chapter/10.1007/978-3-642-30779-9_1","Chapter"
"Evaluation of a modular scalable system for silver-ager located in assisted living homes in Austria – study protocol of the ModuLAAr ambient assisted living project","BMC Public Health","","14","1","10.1186/1471-2458-14-736","Christian SiegelBarbara Prazak-AramJohannes KropfMichael KundiThomas Dorner","2014","http://link.springer.com/article/10.1186/1471-2458-14-736","Article"
"Visible Light Communications (VLC) for Ambient Assisted Living","Wireless Personal Communications","","78","3","10.1007/s11277-014-1901-1","Ambuj KumarAlbena MihovskaSofoklis KyriazakosRamjee Prasad","2014","http://link.springer.com/article/10.1007/s11277-014-1901-1","Article"
"Sensor Infrastructures for Ambient Assisted Living","Handbook of Medical and Healthcare Technologies","","","","10.1007/978-1-4614-8495-0_20","Olga MurdochJessie WanSameh AbdallaMichael J. O’GradyGregory M. P. O’Hare","2013","http://link.springer.com/chapter/10.1007/978-1-4614-8495-0_20","Chapter"
"Services and Applications in an Ambient Assisted Living (AAL) Environment","Universal Access in Human-Computer Interaction. Aging and Assistive Environments","","","","10.1007/978-3-319-07446-7_46","Laura BurzagliLorenzo Di FonzoPier Luigi Emiliani","2014","http://link.springer.com/chapter/10.1007/978-3-319-07446-7_46","Chapter"
"Sensors for Ambient Assisted Living and Smart Homes","Autonomous Sensor Networks","","","","10.1007/5346_2012_36","N. Martínez MadridJ. Martínez FernándezR. SeepoldJ. C. Augusto","2013","http://link.springer.com/chapter/10.1007/5346_2012_36","Chapter"
"Learning in the Context of an Ambient Assisted Living Apartment: Including Methods of Serious Gaming","Software Engineering Education for a Global E-Service Economy","","","","10.1007/978-3-319-04217-6_6","Sven LeonhardtStephan KasselAnne RandowTobias Teich","2014","http://link.springer.com/chapter/10.1007/978-3-319-04217-6_6","Chapter"
