Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Promoting Health and Well-Being Using Wearable and Smartphone Technologies for Ambient Assisted Living Through Internet of Things","Big Data and Networks Technologies","","","","10.1007/978-3-030-23672-4_2","Gonçalo MarquesRui Pitarma","2020","http://link.springer.com/chapter/10.1007/978-3-030-23672-4_2","Chapter"
"Smart Cities to Improve Mobility and Quality of Life of the Visually Impaired","Technological Trends in Improved Mobility of the Visually Impaired","","","","10.1007/978-3-030-16450-8_1","Drishty SobnathIkram Ur RehmanMoustafa M. Nasralla","2020","http://link.springer.com/chapter/10.1007/978-3-030-16450-8_1","Chapter"
"Review of Smart Healthcare Systems and Applications for Smart Cities","ICCCE 2019","","","","10.1007/978-981-13-8715-9_39","Jignyasa Sanghavi","2020","http://link.springer.com/chapter/10.1007/978-981-13-8715-9_39","Chapter"
"The Role of Smart Cities for the Realization of the Sustainable Development Goals","Sustaining our Environment for Better Future","","","","10.1007/978-981-13-7158-5_13","Odile Schwarz-Herion","2020","http://link.springer.com/chapter/10.1007/978-981-13-7158-5_13","Chapter"
"Centenarian Transhumanism Aging in Place","Data-driven Multivalence in the Built Environment","","","","10.1007/978-3-030-12180-8_7","Jennifer Loy","2020","http://link.springer.com/chapter/10.1007/978-3-030-12180-8_7","Chapter"
"Towards Smart Cities: Challenges, Components, and Architectures","Toward Social Internet of Things (SIoT): Enabling Technologies, Architectures and Applications","","","","10.1007/978-3-030-24513-9_15","Djamel SabaYoucef SahliBrahim BerbaouiRachid Maouedj","2020","http://link.springer.com/chapter/10.1007/978-3-030-24513-9_15","Chapter"
"Smart Dubai: Sensing Dubai Smart City for Smart Environment Management","Smart Environment for Smart Cities","","","","10.1007/978-981-13-6822-6_12","Ummer Sahib","2020","http://link.springer.com/chapter/10.1007/978-981-13-6822-6_12","Chapter"
"Some Cases of Smart Use of the IoT","Towards the Internet of Things","","","","10.1007/978-3-030-18468-1_4","Mohammad Ali Jabraeil JamaliBahareh BahramiArash HeidariParisa AllahverdizadehFarhad Norouzi","2020","http://link.springer.com/chapter/10.1007/978-3-030-18468-1_4","Chapter"
"Smart Environment for Smart Cities","Smart Environment for Smart Cities","","","","10.1007/978-981-13-6822-6_1","T. M. Vinod Kumar","2020","http://link.springer.com/chapter/10.1007/978-981-13-6822-6_1","Chapter"
"Development and Future Trends of Internet of Things","Cyber Security Intelligence and Analytics","","","","10.1007/978-3-030-15235-2_90","Wencheng LiuFei LiYan Li","2020","http://link.springer.com/chapter/10.1007/978-3-030-15235-2_90","Chapter"
"Smart Cities: The Next Urban Evolution in Delivering a Better Quality of Life","Toward Social Internet of Things (SIoT): Enabling Technologies, Architectures and Applications","","","","10.1007/978-3-030-24513-9_16","Abdulrahman SharidaAllam HamdanMukhtar AL-Hashimi","2020","http://link.springer.com/chapter/10.1007/978-3-030-24513-9_16","Chapter"
"Digital Assets Horizon in Smart Cities: Urban Congestion Management by IoT, Blockchain/DLT and Human Reinforcement","Modelling and Simulation in Management Sciences","","","","10.1007/978-3-030-15413-4_6","Ferran Herraiz FaixóFrancisco-Javier Arroyo-CañadaMaría Pilar López-JuradoAna M. Lauroba Pérez","2020","http://link.springer.com/chapter/10.1007/978-3-030-15413-4_6","Chapter"
"Modelling an Adjustable Autonomous Multi-agent Internet of Things System for Elderly Smart Home","Advances in Neuroergonomics and Cognitive Engineering","","","","10.1007/978-3-030-20473-0_29","Salama A. MostafaSaraswathy Shamini GunasekaranAida MustaphaMazin Abed MohammedWafaa Mustafa Abduallah","2020","http://link.springer.com/chapter/10.1007/978-3-030-20473-0_29","Chapter"
"Automation Based Smart Environment Resource Management in Smart Building of Smart City","Smart Environment for Smart Cities","","","","10.1007/978-981-13-6822-6_3","Jignesh G. BhattOmkar K. JaniChetan B. Bhatt","2020","http://link.springer.com/chapter/10.1007/978-981-13-6822-6_3","Chapter"
"Context-Aware Location Recommendations for Smart Cities","Smart Cities Performability, Cognition, & Security","","","","10.1007/978-3-030-14718-1_5","Akanksha PalAbhishek Singh Rathore","2020","http://link.springer.com/chapter/10.1007/978-3-030-14718-1_5","Chapter"
"Creating an Equitable Smart City","Smart Cities in Application","","","","10.1007/978-3-030-19396-6_2","Catherine Crago BlantonWalt Trybula","2020","http://link.springer.com/chapter/10.1007/978-3-030-19396-6_2","Chapter"
"Personalizing Healthcare in Smart Cities","Smart Cities in Application","","","","10.1007/978-3-030-19396-6_1","Eduardo Pérez-RomanMichelle AlvaradoMeredith Barrett","2020","http://link.springer.com/chapter/10.1007/978-3-030-19396-6_1","Chapter"
"The Internet of Things and Its Applications in Cyber Security","A Handbook of Internet of Things in Biomedical and Cyber Physical System","","","","10.1007/978-3-030-23983-1_4","Rohit SharmaRajendra Prasad MahapatraNaresh Sharma","2020","http://link.springer.com/chapter/10.1007/978-3-030-23983-1_4","Chapter"
"The Future of Mobility with Connected and Autonomous Vehicles in Smart Cities","Digital Twin Technologies and Smart Cities","","","","10.1007/978-3-030-18732-3_3","Patrice SeuwouEbad BanissiGeorge Ubakanma","2020","http://link.springer.com/chapter/10.1007/978-3-030-18732-3_3","Chapter"
"A Framework for a Fuzzy Smart Home IoT e-Health Support System","Advances in Information and Communication","","","","10.1007/978-3-030-12388-8_31","Moses Adah AganaOfem Ajah OfemBassey Igbo Ele","2020","http://link.springer.com/chapter/10.1007/978-3-030-12388-8_31","Chapter"
"Conceptualization of Smart City: A Methodological Framework for Smart Infrastructure, Smart Solutions and Smart Governance","Data-driven Multivalence in the Built Environment","","","","10.1007/978-3-030-12180-8_3","Aurobindo Ogra","2020","http://link.springer.com/chapter/10.1007/978-3-030-12180-8_3","Chapter"
"IoT Architecture","Towards the Internet of Things","","","","10.1007/978-3-030-18468-1_2","Mohammad Ali Jabraeil JamaliBahareh BahramiArash HeidariParisa AllahverdizadehFarhad Norouzi","2020","http://link.springer.com/chapter/10.1007/978-3-030-18468-1_2","Chapter"
"Playful Introduction on “Making Smart Cities More Playable”","Making Smart Cities More Playable","","","","10.1007/978-981-13-9765-3_1","Anton Nijholt","2020","http://link.springer.com/chapter/10.1007/978-981-13-9765-3_1","Chapter"
"A Smart Home Assistive Living Framework Using Fog Computing for Audio and Lighting Stimulation","Advances in Decision Sciences, Image Processing, Security and Computer Vision","","","","10.1007/978-3-030-24322-7_47","N. K. SuryadevaraAtul NegiSrinivasa Raju Rudraraju","2020","http://link.springer.com/chapter/10.1007/978-3-030-24322-7_47","Chapter"
"Playful and Playable Lighting in Smart Cities: Towards a Holistic Framework of Design","Making Smart Cities More Playable","","","","10.1007/978-981-13-9765-3_8","Henrika PihlajaniemiAale Luusua","2020","http://link.springer.com/chapter/10.1007/978-981-13-9765-3_8","Chapter"
"Toward Sustainable Domestication of Smart IoT Mobility Solutions for the Visually Impaired Persons in Africa","Technological Trends in Improved Mobility of the Visually Impaired","","","","10.1007/978-3-030-16450-8_11","Abdulazeez Femi SalamiEustace M. DogoNnamdi I. NwuluBabu Sena Paul","2020","http://link.springer.com/chapter/10.1007/978-3-030-16450-8_11","Chapter"
"Latency-Aware Distributed Resource Provisioning for Deploying IoT Applications at the Edge of the Network","Advances in Information and Communication","","","","10.1007/978-3-030-12388-8_27","Cosmin AvasalcaiSchahram Dustdar","2020","http://link.springer.com/chapter/10.1007/978-3-030-12388-8_27","Chapter"
